Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2031,S1,D1,LNG,1491206.12,LNG,11,11,1042251,102000,92.89,1.0
Diesel_S1_2031,S1,D2,Diesel,951324.58,B20,7,33,3310718,102000,463.69,0.21
LNG_S1_2031,S1,D2,LNG,3510237.49,LNG,26,33,3310718,102000,124.84,0.79
Diesel_S1_2031,S1,D3,Diesel,902896.3,B20,6,40,4061449,102000,663.64,0.15
LNG_S1_2031,S1,D3,LNG,4583281.32,LNG,34,40,4061449,102000,117.11,0.85
LNG_S1_2031,S1,D4,LNG,818577.06,LNG,6,6,518651,102000,84.75,1.0
LNG_S2_2031,S2,D1,LNG,2158607.9,LNG,12,12,1240402,106000,97.52,1.0
LNG_S2_2031,S2,D2,LNG,2873295.09,LNG,16,16,1689196,106000,99.6,1.0
LNG_S2_2031,S2,D3,LNG,1623061.54,LNG,9,9,943472,106000,98.9,1.0
LNG_S2_2031,S2,D4,LNG,369355.08,LNG,2,2,161977,106000,76.4,1.0
Diesel_S3_2031,S3,D1,Diesel,1522430.99,B20,9,36,2619164,73000,398.66,0.25
LNG_S3_2031,S3,D1,LNG,5493857.38,LNG,27,36,2619164,73000,132.89,0.75
Diesel_S3_2031,S3,D2,Diesel,2133066.08,B20,13,39,2814164,73000,296.54,0.33
LNG_S3_2031,S3,D2,LNG,5292584.03,LNG,26,39,2814164,73000,148.27,0.67
LNG_S3_2031,S3,D3,LNG,3460807.14,LNG,17,17,1234148,73000,99.45,1.0
LNG_S3_2031,S3,D4,LNG,820789.82,LNG,4,4,242813,73000,83.16,1.0
LNG_S4_2031,S4,D1,LNG,262557.59,LNG,1,1,18747,118000,15.89,1.0
LNG_S4_2031,S4,D2,LNG,2095660.74,LNG,8,8,941960,118000,99.78,1.0
LNG_S4_2031,S4,D3,LNG,529933.44,LNG,2,2,139696,118000,59.19,1.0
LNG_S4_2031,S4,D4,LNG,260093.05,LNG,1,1,2198,118000,1.86,1.0
