Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,497829.84,590940.62,B20,5,9,869181,102000,170.43,55.56
"Size S1, Distance D1",LNG,460381.79,357652.2,LNG,4,9,869181,102000,213.03,44.44
"Size S1, Distance D2",Diesel,1398640.17,1765717.77,B20,15,26,2597094,102000,169.74,57.69
"Size S1, Distance D2",LNG,1205530.18,1068657.04,LNG,11,26,2597094,102000,231.47,42.31
"Size S1, Distance D3",Diesel,1497619.09,2238179.41,B20,16,33,3292011,102000,201.72,48.48
"Size S1, Distance D3",LNG,1834422.47,1354602.77,LNG,17,33,3292011,102000,189.85,51.52
"Size S1, Distance D4",Diesel,307901.41,281685.36,B20,3,5,414315,102000,135.4,60.0
"Size S1, Distance D4",LNG,246684.42,170483.1,LNG,2,5,414315,102000,203.1,40.0
"Size S2, Distance D1",Diesel,706791.78,679492.18,B20,6,10,995694,106000,156.56,60.0
"Size S2, Distance D1",LNG,605529.82,409046.58,LNG,4,10,995694,106000,234.83,40.0
"Size S2, Distance D2",Diesel,1034161.13,943935.46,B20,9,14,1383196,106000,144.99,64.29
"Size S2, Distance D2",LNG,751142.75,568238.42,LNG,5,14,1383196,106000,260.98,35.71
"Size S2, Distance D3",Diesel,494114.96,530936.57,B20,4,8,778008,106000,183.49,50.0
"Size S2, Distance D3",LNG,596432.77,319617.78,LNG,4,8,778008,106000,183.49,50.0
"Size S2, Distance D4",LNG,293132.66,54916.59,LNG,2,2,133677,106000,63.06,100.0
"Size S3, Distance D1",Diesel,2041682.85,1491601.43,B20,16,30,2183475,73000,186.94,53.33
"Size S3, Distance D1",LNG,2268863.15,894747.21,LNG,14,30,2183475,73000,213.65,46.67
"Size S3, Distance D2",Diesel,2168756.38,1661309.16,B20,17,34,2431901,73000,195.96,50.0
"Size S3, Distance D2",LNG,2747323.13,996547.54,LNG,17,34,2431901,73000,195.96,50.0
"Size S3, Distance D3",Diesel,916080.58,684816.51,B20,7,14,1002466,73000,196.18,50.0
"Size S3, Distance D3",LNG,1145307.61,410791.82,LNG,7,14,1002466,73000,196.18,50.0
"Size S3, Distance D4",LNG,492029.94,84179.73,LNG,3,3,205426,73000,93.8,100.0
"Size S4, Distance D1",Diesel,164260.13,9768.26,B20,1,1,14576,118000,12.35,100.0
"Size S4, Distance D2",Diesel,692029.81,505781.29,B20,4,7,754717,118000,159.9,57.14
"Size S4, Distance D2",LNG,657754.22,313867.89,LNG,3,7,754717,118000,213.2,42.86
"Size S4, Distance D3",LNG,420182.39,49447.12,LNG,2,2,118899,118000,50.38,100.0
"Size S4, Distance D4",Diesel,160833.81,1212.32,B20,1,1,1809,118000,1.53,100.0
