Year,Total Cost ($),Total carbon_emissions_per_km
2023,25805419.24,18438172.13
2024,26915602.49,18927904.02
2025,28058398.64,19484759.03
2026,30338068.31,19856483.76
2027,32733551.78,19735599.32
2028,33733171.84,20716728.3
2029,36561746.64,21284872.01
2030,37388138.32,21107747.71
2031,39342671.4,22141375.1
2032,41401017.88,22767639.67
2033,43441051.28,23352523.88
2034,45466098.01,24282500.05
2035,48396618.26,24102052.23
2036,50775701.19,24647583.81
2037,52963648.2,26053237.61
2038,56152275.1,26733911.23
