Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
Diesel_S1_2028,S1,D1,Diesel,675506.71,658219.03,B20,6,10,968137,102000,158.19,60.0
LNG_S1_2028,S1,D1,LNG,528970.15,378994.67,LNG,4,10,968137,102000,237.29,40.0
BEV_S1_2028,S1,D2,BEV,601040.25,0.0,Electricity,3,31,3114155,102000,1017.7,9.68
Diesel_S1_2028,S1,D2,Diesel,1430309.89,2117258.29,B20,13,31,3114155,102000,234.85,41.94
LNG_S1_2028,S1,D2,LNG,1875354.02,1219092.09,LNG,15,31,3114155,102000,203.54,48.39
Diesel_S1_2028,S1,D3,Diesel,2043954.7,2536823.07,B20,19,37,3731269,102000,192.53,51.35
LNG_S1_2028,S1,D3,LNG,2243952.75,1460672.48,LNG,18,37,3731269,102000,203.23,48.65
Diesel_S1_2028,S1,D4,Diesel,360653.56,318978.93,B20,3,5,469168,102000,153.32,60.0
LNG_S1_2028,S1,D4,LNG,282052.45,183664.27,LNG,2,5,469168,102000,229.98,40.0
LNG_S2_2028,S2,D1,LNG,1813669.59,442503.17,LNG,11,11,1142178,106000,97.96,100.0
Diesel_S2_2028,S2,D2,Diesel,1202356.27,1055517.66,B20,9,15,1546703,106000,162.13,60.0
LNG_S2_2028,S2,D2,LNG,1020067.52,599224.45,LNG,6,15,1546703,106000,243.19,40.0
Diesel_S2_2028,S2,D3,Diesel,693784.11,615835.73,B20,5,9,902415,106000,170.27,55.56
LNG_S2_2028,S2,D3,LNG,688273.17,349614.07,LNG,4,9,902415,106000,212.83,44.44
LNG_S2_2028,S2,D4,LNG,338199.24,57352.18,LNG,2,2,148036,106000,69.83,100.0
BEV_S3_2028,S3,D1,BEV,671557.62,0.0,Electricity,2,34,2448472,73000,1677.04,5.88
Diesel_S3_2028,S3,D1,Diesel,2655395.6,1672629.34,B20,18,34,2448472,73000,186.34,52.94
LNG_S3_2028,S3,D1,LNG,2626956.48,951991.09,LNG,14,34,2448472,73000,239.58,41.18
Diesel_S3_2028,S3,D2,Diesel,2801955.33,1822544.0,B20,19,37,2667924,73000,192.35,51.35
LNG_S3_2028,S3,D2,LNG,3365740.45,1037316.28,LNG,18,37,2667924,73000,203.04,48.65
Diesel_S3_2028,S3,D3,Diesel,1346041.04,789242.1,B20,9,16,1155329,73000,175.85,56.25
LNG_S3_2028,S3,D3,LNG,1325400.73,449203.79,LNG,7,16,1155329,73000,226.09,43.75
Diesel_S3_2028,S3,D4,Diesel,459326.65,159485.34,B20,3,4,233462,73000,106.6,75.0
LNG_S3_2028,S3,D4,LNG,221588.95,90772.43,LNG,1,4,233462,73000,319.81,25.0
Diesel_S4_2028,S4,D1,Diesel,190915.54,11300.91,B20,1,1,16863,118000,14.29,100.0
Diesel_S4_2028,S4,D2,Diesel,1518854.11,570944.99,B20,8,8,851953,118000,90.25,100.0
LNG_S4_2028,S4,D3,LNG,485823.02,52532.81,LNG,2,2,133929,118000,56.75,100.0
Diesel_S4_2028,S4,D4,Diesel,186503.92,1384.55,B20,1,1,2066,118000,1.75,100.0
