Year,Total Cost ($),Total carbon_emissions_per_km
2023,26030590.25,17899013.0
2024,27073354.94,19013318.83
2025,29015077.78,19484759.03
2026,30723502.09,19324088.4
2027,32309028.32,20291394.67
2028,33572994.44,20145783.31
2029,36634756.52,21195252.34
2030,37480235.93,21723819.28
2031,39403568.04,21557920.84
2032,41760711.22,22058042.05
2033,44418446.46,22162121.69
2034,47071731.61,20452099.07
2035,48862280.41,23134341.93
2036,51041608.76,23487282.49
2037,53248385.14,25413240.1
2038,56447524.11,26143963.68
