Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2037,2037,S1,D1,1196265,BEV_S1_2037,BEV,2037,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.093972351123,138424.43397235114,0.9924953157392234,1.0,D1
Diesel_S1_2037,2037,S1,D1,1196265,Diesel_S1_2037,Diesel,2037,128570,102000,D4,B20,0.6798821172799999,6428.5,1285.7,0.36552099384,136284.56552099384,0.07854041814797273,5.0,D1
Diesel_S1_2037,2037,S1,D1,1196265,Diesel_S1_2037,Diesel,2037,128570,102000,D4,HVO,0.108747953984,6428.5,1285.7,0.34767525352,136284.54767525353,0.8407357275439277,3.0,D1
LNG_S1_2037,2037,S1,D1,1196265,LNG_S1_2037,LNG,2037,151258,102000,D4,LNG,0.38470060965,7562.900000000001,1512.58,0.14420435484,160333.62420435483,0.43141171866861133,4.0,D1
LNG_S1_2037,2037,S1,D1,1196265,LNG_S1_2037,LNG,2037,151258,102000,D4,BioLNG,0.058423791259,7562.900000000001,1512.58,0.1547113753399999,160333.63471137534,0.8830700772852726,2.0,D1
BEV_S1_2037,2037,S1,D2,3953052,BEV_S1_2037,BEV,2037,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.093972351123,138424.43397235114,0.9924953157392234,1.0,D2
Diesel_S1_2037,2037,S1,D2,3953052,Diesel_S1_2037,Diesel,2037,128570,102000,D4,B20,0.6798821172799999,6428.5,1285.7,0.36552099384,136284.56552099384,0.07854041814797273,5.0,D2
Diesel_S1_2037,2037,S1,D2,3953052,Diesel_S1_2037,Diesel,2037,128570,102000,D4,HVO,0.108747953984,6428.5,1285.7,0.34767525352,136284.54767525353,0.8407357275439277,3.0,D2
LNG_S1_2037,2037,S1,D2,3953052,LNG_S1_2037,LNG,2037,151258,102000,D4,LNG,0.38470060965,7562.900000000001,1512.58,0.14420435484,160333.62420435483,0.43141171866861133,4.0,D2
LNG_S1_2037,2037,S1,D2,3953052,LNG_S1_2037,LNG,2037,151258,102000,D4,BioLNG,0.058423791259,7562.900000000001,1512.58,0.1547113753399999,160333.63471137534,0.8830700772852726,2.0,D2
BEV_S1_2037,2037,S1,D3,4663966,BEV_S1_2037,BEV,2037,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.093972351123,138424.43397235114,0.9924953157392234,1.0,D3
Diesel_S1_2037,2037,S1,D3,4663966,Diesel_S1_2037,Diesel,2037,128570,102000,D4,B20,0.6798821172799999,6428.5,1285.7,0.36552099384,136284.56552099384,0.07854041814797273,5.0,D3
Diesel_S1_2037,2037,S1,D3,4663966,Diesel_S1_2037,Diesel,2037,128570,102000,D4,HVO,0.108747953984,6428.5,1285.7,0.34767525352,136284.54767525353,0.8407357275439277,3.0,D3
LNG_S1_2037,2037,S1,D3,4663966,LNG_S1_2037,LNG,2037,151258,102000,D4,LNG,0.38470060965,7562.900000000001,1512.58,0.14420435484,160333.62420435483,0.43141171866861133,4.0,D3
LNG_S1_2037,2037,S1,D3,4663966,LNG_S1_2037,LNG,2037,151258,102000,D4,BioLNG,0.058423791259,7562.900000000001,1512.58,0.1547113753399999,160333.63471137534,0.8830700772852726,2.0,D3
BEV_S1_2037,2037,S1,D4,630092,BEV_S1_2037,BEV,2037,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.093972351123,138424.43397235114,0.9924953157392234,1.0,D4
Diesel_S1_2037,2037,S1,D4,630092,Diesel_S1_2037,Diesel,2037,128570,102000,D4,B20,0.6798821172799999,6428.5,1285.7,0.36552099384,136284.56552099384,0.07854041814797273,5.0,D4
Diesel_S1_2037,2037,S1,D4,630092,Diesel_S1_2037,Diesel,2037,128570,102000,D4,HVO,0.108747953984,6428.5,1285.7,0.34767525352,136284.54767525353,0.8407357275439277,3.0,D4
LNG_S1_2037,2037,S1,D4,630092,LNG_S1_2037,LNG,2037,151258,102000,D4,LNG,0.38470060965,7562.900000000001,1512.58,0.14420435484,160333.62420435483,0.43141171866861133,4.0,D4
LNG_S1_2037,2037,S1,D4,630092,LNG_S1_2037,LNG,2037,151258,102000,D4,BioLNG,0.058423791259,7562.900000000001,1512.58,0.1547113753399999,160333.63471137534,0.8830700772852726,2.0,D4
BEV_S2_2037,2037,S2,D1,1402031,BEV_S2_2037,BEV,2037,189947,106000,D4,Electricity,0.0,9497.35,1899.47,0.09250338537,201343.91250338536,0.914866430262885,1.0,D1
Diesel_S2_2037,2037,S2,D1,1402031,Diesel_S2_2037,Diesel,2037,157309,106000,D4,B20,0.68243073016,7865.450000000001,1573.09,0.36689118948,166747.9068911895,0.11121385220807206,5.0,D1
Diesel_S2_2037,2037,S2,D1,1402031,Diesel_S2_2037,Diesel,2037,157309,106000,D4,HVO,0.109155607648,7865.450000000001,1573.09,0.34897855244,166747.88897855245,0.8415176704988264,3.0,D1
LNG_S2_2037,2037,S2,D1,1402031,LNG_S2_2037,LNG,2037,201174,106000,D4,LNG,0.38726635773,10058.7,2011.74,0.145166121048,213244.58516612105,0.4267023969837051,4.0,D1
LNG_S2_2037,2037,S2,D1,1402031,LNG_S2_2037,LNG,2037,201174,106000,D4,BioLNG,0.058672804121,10058.7,2011.74,0.15537078346,213244.59537078347,0.857558504503882,2.0,D1
