Year,Size,Distance,Demand (km),ID,Vehicle,Year_y,Cost ($),Yearly range (km),Fuel,Consumption (unit_fuel/km),emissions (CO2/unit_fuel),Cost ($/unit_fuel),cost Uncertainty (±%),Carbon emission CO2/kg
2023,S1,D1,869181,BEV_S1_2023,BEV,2023,187000,102000,Electricity,0.893043,0.0,0.191791,0,11677957
2023,S1,D1,869181,BEV_S1_2024,BEV,2024,177650,102000,Electricity,0.893043,0.0,0.184113,2,11677957
2023,S1,D1,869181,BEV_S1_2025,BEV,2025,168767,102000,Electricity,0.893043,0.0,0.176742,4,11677957
2023,S1,D2,2597094,BEV_S1_2026,BEV,2026,160329,102000,Electricity,0.893043,0.0,0.169666,6,11677957
2023,S1,D2,2597094,BEV_S1_2027,BEV,2027,152312,102000,Electricity,0.868161,0.0,0.162873,8,11677957
2023,S1,D2,2597094,BEV_S1_2028,BEV,2028,144697,102000,Electricity,0.868161,0.0,0.156352,10,11677957
2023,S1,D3,3292011,BEV_S1_2029,BEV,2029,137462,102000,Electricity,0.868161,0.0,0.150092,12,11677957
2023,S1,D3,3292011,BEV_S1_2030,BEV,2030,130589,102000,Electricity,0.868161,0.0,0.144083,14,11677957
2023,S1,D3,3292011,BEV_S1_2031,BEV,2031,130589,102000,Electricity,0.868161,0.0,0.138315,16,11677957
2023,S1,D4,414315,BEV_S1_2032,BEV,2032,130589,102000,Electricity,0.868161,0.0,0.132778,18,11677957
2023,S1,D4,414315,BEV_S1_2033,BEV,2033,130589,102000,Electricity,0.868161,0.0,0.127462,20,11677957
2023,S1,D4,414315,BEV_S1_2034,BEV,2034,130589,102000,Electricity,0.868161,0.0,0.122359,22,11677957
2023,S1,D4,414315,BEV_S1_2035,BEV,2035,130589,102000,Electricity,0.868161,0.0,0.11746,24,11677957
2023,S1,D4,414315,BEV_S1_2036,BEV,2036,130589,102000,Electricity,0.868161,0.0,0.112757,26,11677957
2023,S1,D4,414315,BEV_S1_2037,BEV,2037,130589,102000,Electricity,0.868161,0.0,0.108243,28,11677957
2023,S1,D4,414315,BEV_S1_2038,BEV,2038,130589,102000,Electricity,0.868161,0.0,0.103909,30,11677957
2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,B20,0.223016,3.04858,1.220845,0,11677957
