Operating Year,ID,Num_Vehicles,Type,Fuel,Distance_bucket,Distance_per_vehicle(km),Yearly range (km),Vehicle_Year
2023,BEV_S1_2023,45,Buy,Electricity,D1,51017.07,102000,2023
2023,BEV_S1_2023,48,Buy,Electricity,D1,100258.47,102000,2023
2023,BEV_S1_2023,1,Buy,Electricity,D1,98723.53,102000,2023
2023,BEV_S1_2023,4,Buy,Electricity,D1,8488.71,102000,2023
2023,BEV_S1_2023,4,Buy,Electricity,D1,79947.0,102000,2023
2023,BEV_S1_2023,40,Buy,Electricity,D1,5547.0,102000,2023
2023,BEV_S1_2023,10,Buy,Electricity,D1,20320.0,102000,2023
2023,BEV_S1_2023,20,Buy,Electricity,D1,6978.61,102000,2023
2023,BEV_S1_2023,22,Buy,Electricity,D1,5560.0,102000,2023
2023,BEV_S1_2023,37,Buy,Electricity,D1,21281.9,102000,2023
2023,BEV_S1_2023,24,Buy,Electricity,D1,65156.94,102000,2023
2023,BEV_S1_2023,7,Buy,Electricity,D1,58611.0,102000,2023
2023,BEV_S1_2023,25,Buy,Electricity,D1,71280.0,102000,2023
2023,BEV_S1_2023,25,Buy,Electricity,D1,26645.0,102000,2023
2023,BEV_S1_2023,13,Buy,Electricity,D1,16157.85,102000,2023
2023,BEV_S1_2023,2,Buy,Electricity,D1,3692.0,102000,2023
2023,Diesel_S1_2023,4,Buy,B20,D4,43104.0,102000,2023
2023,Diesel_S1_2023,32,Buy,B20,D4,35762.3,102000,2023
2023,Diesel_S1_2023,10,Buy,B20,D4,89245.0,102000,2023
2023,Diesel_S1_2023,11,Buy,B20,D4,85015.0,102000,2023
2023,Diesel_S1_2023,28,Buy,B20,D4,5174.0,102000,2023
2023,Diesel_S1_2023,46,Buy,B20,D4,6723.0,102000,2023
2023,Diesel_S1_2023,8,Buy,B20,D4,88761.05,102000,2023
2023,Diesel_S1_2023,40,Buy,B20,D4,21480.0,102000,2023
2023,Diesel_S1_2023,22,Buy,B20,D4,96920.64,102000,2023
2023,Diesel_S1_2023,34,Buy,B20,D4,37637.0,102000,2023
2023,Diesel_S1_2023,45,Buy,B20,D4,72980.96,102000,2023
2023,Diesel_S1_2023,35,Buy,B20,D4,58130.0,102000,2023
2023,Diesel_S1_2023,35,Buy,B20,D4,97174.0,102000,2023
2023,Diesel_S1_2023,25,Buy,B20,D4,60384.43,102000,2023
2023,Diesel_S1_2023,34,Buy,B20,D4,63989.0,102000,2023
2023,Diesel_S1_2023,6,Buy,B20,D4,11995.81,102000,2023
2023,Diesel_S1_2023,8,Buy,HVO,D4,24872.0,102000,2023
2023,Diesel_S1_2023,31,Buy,HVO,D4,30868.34,102000,2023
2023,Diesel_S1_2023,9,Buy,HVO,D4,88.07,102000,2023
2023,Diesel_S1_2023,21,Buy,HVO,D4,59459.36,102000,2023
2023,Diesel_S1_2023,8,Buy,HVO,D4,73261.34,102000,2023
2023,Diesel_S1_2023,4,Buy,HVO,D4,72340.02,102000,2023
2023,Diesel_S1_2023,22,Buy,HVO,D4,52947.0,102000,2023
2023,Diesel_S1_2023,28,Buy,HVO,D4,40635.05,102000,2023
2023,Diesel_S1_2023,45,Buy,HVO,D4,64241.0,102000,2023
2023,Diesel_S1_2023,4,Buy,HVO,D4,85928.0,102000,2023
2023,Diesel_S1_2023,39,Buy,HVO,D4,61045.8,102000,2023
2023,Diesel_S1_2023,21,Buy,HVO,D4,19504.55,102000,2023
2023,Diesel_S1_2023,8,Buy,HVO,D4,76809.82,102000,2023
2023,Diesel_S1_2023,20,Buy,HVO,D4,92150.09,102000,2023
2023,Diesel_S1_2023,32,Buy,HVO,D4,95421.79,102000,2023
2023,Diesel_S1_2023,1,Buy,HVO,D4,50583.0,102000,2023
2023,LNG_S1_2023,11,Buy,LNG,D4,93244.0,102000,2023
2023,LNG_S1_2023,13,Buy,LNG,D4,74993.0,102000,2023
2023,LNG_S1_2023,41,Buy,LNG,D4,11359.11,102000,2023
2023,LNG_S1_2023,34,Buy,LNG,D4,85173.0,102000,2023
2023,LNG_S1_2023,38,Buy,LNG,D4,13853.98,102000,2023
2023,LNG_S1_2023,40,Buy,LNG,D4,48816.24,102000,2023
2023,LNG_S1_2023,33,Buy,LNG,D4,7334.77,102000,2023
2023,LNG_S1_2023,34,Buy,LNG,D4,81299.0,102000,2023
2023,LNG_S1_2023,27,Buy,LNG,D4,70695.0,102000,2023
2023,LNG_S1_2023,36,Buy,LNG,D4,92754.86,102000,2023
2023,LNG_S1_2023,26,Buy,LNG,D4,90817.0,102000,2023
2023,LNG_S1_2023,25,Buy,LNG,D4,61629.09,102000,2023
2023,LNG_S1_2023,19,Buy,LNG,D4,12455.2,102000,2023
2023,LNG_S1_2023,21,Buy,LNG,D4,51745.97,102000,2023
2023,LNG_S1_2023,31,Buy,LNG,D4,26807.0,102000,2023
2023,LNG_S1_2023,29,Buy,LNG,D4,5182.0,102000,2023
2023,LNG_S1_2023,39,Buy,BioLNG,D4,3460.0,102000,2023
2023,LNG_S1_2023,39,Buy,BioLNG,D4,14647.0,102000,2023
2023,LNG_S1_2023,37,Buy,BioLNG,D4,87713.0,102000,2023
2023,LNG_S1_2023,2,Buy,BioLNG,D4,11901.0,102000,2023
2023,LNG_S1_2023,37,Buy,BioLNG,D4,55411.0,102000,2023
2023,LNG_S1_2023,6,Buy,BioLNG,D4,97706.82,102000,2023
2023,LNG_S1_2023,6,Buy,BioLNG,D4,22048.64,102000,2023
2023,LNG_S1_2023,39,Buy,BioLNG,D4,37910.0,102000,2023
2023,LNG_S1_2023,36,Buy,BioLNG,D4,81409.0,102000,2023
2023,LNG_S1_2023,25,Buy,BioLNG,D4,21582.0,102000,2023
2023,LNG_S1_2023,50,Buy,BioLNG,D4,29746.02,102000,2023
2023,LNG_S1_2023,16,Buy,BioLNG,D4,49588.0,102000,2023
2023,LNG_S1_2023,21,Buy,BioLNG,D4,87559.52,102000,2023
2023,LNG_S1_2023,10,Buy,BioLNG,D4,24113.05,102000,2023
2023,LNG_S1_2023,5,Buy,BioLNG,D4,13467.86,102000,2023
2023,LNG_S1_2023,50,Buy,BioLNG,D4,45733.0,102000,2023
2023,BEV_S2_2023,11,Buy,Electricity,D1,1820.0,106000,2023
