Year,Size,Distance,Demand (km),ID,Vehicle,Year_y,Cost ($),Yearly range (km),Fuel,Consumption (unit_fuel/km),emissions (CO2/unit_fuel),Cost ($/unit_fuel),cost Uncertainty (±%),Carbon emission CO2/kg
2023,S1,D1,869181,BEV_S1_2023,BEV,2023,187000,102000,Electricity,0.893043,0,0.191791,0,11677957
2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,B20,0.223016,3.04858,1.220845,0,11677957
2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,HVO,0.223016,0.487624,1.814314,0,11677957
2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,LNG,0.165507,2.486188,1.011618,0,11677957
2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,BioLNG,0.165159,0.378439,1.087817,0,11677957
2023,S2,D1,995694,BEV_S2_2023,BEV,2023,272000,106000,Electricity,0.8968,0,0.191791,0,11677957
2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,B20,0.223852,3.04858,1.220845,0,11677957
2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,HVO,0.223852,0.487624,1.814314,0,11677957
2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,LNG,0.165239,2.486188,1.011618,0,11677957
2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,BioLNG,0.167185,0.378439,1.087817,0,11677957
2023,S4,D1,14576,BEV_S4_2023,BEV,2023,395636,118000,Electricity,0.900664,0,0.191791,0,11677957
2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,B20,0.219827,3.04858,1.220845,0,11677957
2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,HVO,0.219827,0.487624,1.814314,0,11677957
2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,LNG,0.167274,2.486188,1.011618,0,11677957
2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,BioLNG,0.166088,0.378439,1.087817,0,11677957
2023,S3,D1,2183475,BEV_S3_2023,BEV,2023,309090,73000,Electricity,0.898003,0,0.191791,0,11677957
2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,B20,0.224082,3.04858,1.220845,0,11677957
2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,HVO,0.224082,0.487624,1.814314,0,11677957
2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,LNG,0.164823,2.486188,1.011618,0,11677957
2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,BioLNG,0.164684,0.378439,1.087817,0,11677957
