Allocation,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
"Size S1, Distance D1",BEV,Electricity,11,12,1070915,1070915,102000,95.45,100.0,0.0,0.0
"Size S1, Distance D2",BEV,Electricity,35,36,3491886,3491886,102000,97.81,100.0,0.0,0.0
"Size S1, Distance D3",BEV,Electricity,43,45,4290083,4290083,102000,97.81,100.0,0.0,0.0
"Size S1, Distance D4",BEV,Electricity,6,6,563313,563313,102000,92.04,100.0,0.0,0.0
"Size S2, Distance D1",BEV,Electricity,13,13,1283026,1283026,106000,93.11,100.0,0.0,0.0
"Size S2, Distance D2",BEV,Electricity,17,18,1790314,1790314,106000,99.35,100.0,0.0,0.0
"Size S2, Distance D3",BEV,Electricity,10,10,1007259,1007259,106000,95.02,100.0,0.0,0.0
"Size S2, Distance D4",BEV,Electricity,2,2,168141,168141,106000,79.31,100.0,0.0,0.0
"Size S3, Distance D1",BEV,Electricity,39,41,2820991,2820991,73000,99.09,100.0,0.0,0.0
"Size S3, Distance D2",BEV,Electricity,41,43,2974170,2974170,73000,99.37,100.0,0.0,0.0
"Size S3, Distance D3",BEV,Electricity,18,19,1270139,1270139,73000,96.66,100.0,0.0,0.0
"Size S3, Distance D4",BEV,Electricity,4,4,262313,262313,73000,89.83,100.0,0.0,0.0
"Size S4, Distance D1",BEV,Electricity,1,1,19951,19951,118000,16.91,100.0,0.0,0.0
"Size S4, Distance D2",BEV,Electricity,9,10,1013174,1013174,118000,95.4,100.0,0.0,0.0
"Size S4, Distance D3",BEV,Electricity,2,2,146270,146270,118000,61.98,100.0,0.0,0.0
"Size S4, Distance D4",BEV,Electricity,1,1,2236,2236,118000,1.89,100.0,0.0,0.0
