Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range
Diesel_S1_2033,S1,D1,Diesel,786490.41,0.6798821172799999,B20,6,11,1070915,102000
LNG_S1_2033,S1,D1,LNG,743890.88,0.38470060965,LNG,5,11,1070915,102000
BEV_S1_2033,S1,D2,BEV,650298.24,0.0,Electricity,4,35,3491886,102000
Diesel_S1_2033,S1,D2,Diesel,2244732.4,0.6798821172799999,B20,18,35,3491886,102000
LNG_S1_2033,S1,D2,LNG,1891560.8,0.38470060965,LNG,13,35,3491886,102000
BEV_S1_2033,S1,D3,BEV,787067.7,0.0,Electricity,5,43,4290083,102000
Diesel_S1_2033,S1,D3,Diesel,2493796.18,0.6798821172799999,B20,20,43,4290083,102000
LNG_S1_2033,S1,D3,LNG,2599364.72,0.38470060965,LNG,18,43,4290083,102000
Diesel_S1_2033,S1,D4,Diesel,426352.65,0.6798821172799999,B20,3,6,563313,102000
LNG_S1_2033,S1,D4,LNG,455082.91,0.38470060965,LNG,3,6,563313,102000
BEV_S2_2033,S2,D1,BEV,472566.21,0.0,Electricity,2,13,1283026,106000
Diesel_S2_2033,S2,D1,Diesel,1098891.01,0.68243073016,B20,7,13,1283026,106000
LNG_S2_2033,S2,D1,LNG,805524.82,0.38726635773,LNG,4,13,1283026,106000
Diesel_S2_2033,S2,D2,Diesel,1541913.92,0.68243073016,B20,10,17,1790314,106000
LNG_S2_2033,S2,D2,LNG,1364258.84,0.38726635773,LNG,7,17,1790314,106000
Diesel_S2_2033,S2,D3,Diesel,945539.51,0.68243073016,B20,6,10,1007259,106000
LNG_S2_2033,S2,D3,LNG,795279.47,0.38726635773,LNG,4,10,1007259,106000
LNG_S2_2033,S2,D4,LNG,391422.41,0.38726635773,LNG,2,2,168141,106000
Diesel_S3_2033,S3,D1,Diesel,4080218.51,0.68313190356,B20,24,39,2820991,73000
LNG_S3_2033,S3,D1,LNG,3257133.95,0.38273651955000004,LNG,15,39,2820991,73000
BEV_S3_2033,S3,D2,BEV,620518.41,0.0,Electricity,2,41,2974170,73000
Diesel_S3_2033,S3,D2,Diesel,3749465.91,0.68313190356,B20,22,41,2974170,73000
LNG_S3_2033,S3,D2,LNG,3685809.44,0.38273651955000004,LNG,17,41,2974170,73000
Diesel_S3_2033,S3,D3,Diesel,1890895.95,0.68313190356,B20,11,18,1270139,73000
LNG_S3_2033,S3,D3,LNG,1533755.29,0.38273651955000004,LNG,7,18,1270139,73000
Diesel_S3_2033,S3,D4,Diesel,534587.96,0.68313190356,B20,3,4,262313,73000
LNG_S3_2033,S3,D4,LNG,253826.87,0.38273651955000004,LNG,1,4,262313,73000
Diesel_S4_2033,S4,D1,Diesel,222102.9,0.67016019566,B20,1,1,19951,118000
BEV_S4_2033,S4,D2,BEV,641029.79,0.0,Electricity,2,9,1013174,118000
LNG_S4_2033,S4,D2,LNG,1950400.01,0.38356442082000003,LNG,7,9,1013174,118000
Diesel_S4_2033,S4,D3,Diesel,455213.09,0.67016019566,B20,2,2,146270,118000
Diesel_S4_2033,S4,D4,Diesel,216235.42,0.67016019566,B20,1,1,2236,118000
