Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,No_of_vehicles,Max Vehicles
Diesel_S1_2035,2035,S1,D1,1106719,Diesel_S1_2035,Diesel,2035,121189,102000,D4,B20,0.223016,0.6798821172799999,6059.450000000001,1211.89,0.35046072336,43018.33378272,7,11
LNG_S1_2035,2035,S1,D1,1106719,LNG_S1_2035,LNG,2035,142576,102000,D4,LNG,0.154735,0.38470060965,7128.8,1425.76,0.14590427355000002,23436.7959021,4,11
BEV_S1_2034,2035,S1,D4,588196,BEV_S1_2034,BEV,2034,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.10197419106,18670.525803498,3,6
LNG_S1_2035,2035,S1,D4,588196,LNG_S1_2035,LNG,2035,142576,102000,D4,LNG,0.154735,0.38470060965,7128.8,1425.76,0.14590427355000002,23436.7959021,3,6
BEV_S2_2035,2035,S2,D1,1350533,BEV_S2_2035,BEV,2035,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.1003801414,22037.114988399997,2,13
Diesel_S2_2035,2035,S2,D1,1350533,Diesel_S2_2035,Diesel,2035,148279,106000,D4,B20,0.223852,0.68243073016,7413.950000000001,1482.79,0.35177446392,46184.833175520005,7,13
LNG_S2_2035,2035,S2,D1,1350533,LNG_S2_2035,LNG,2035,189626,106000,D4,LNG,0.155767,0.38726635773,9481.300000000001,1896.26,0.14687737731,26946.56199486,4,13
Diesel_S2_2032,2035,S2,D2,1934621,Diesel_S2_2032,Diesel,2032,0,106000,D4,B20,0.223852,0.68243073016,10855.68,9498.720000000001,0.35177446392,43149.08782608,4,19
LNG_S2_2034,2035,S2,D2,1934621,LNG_S2_2034,LNG,2034,0,106000,D4,LNG,0.155767,0.38726635773,11046.18,5523.09,0.14687737731,26706.671119242,4,19
Diesel_S2_2035,2035,S2,D2,1934621,Diesel_S2_2035,Diesel,2035,148279,106000,D4,B20,0.223852,0.68243073016,7413.950000000001,1482.79,0.35177446392,46184.833175520005,7,19
LNG_S2_2035,2035,S2,D2,1934621,LNG_S2_2035,LNG,2035,189626,106000,D4,LNG,0.155767,0.38726635773,9481.300000000001,1896.26,0.14687737731,26946.56199486,4,19
Diesel_S2_2035,2035,S2,D3,1053870,Diesel_S2_2035,Diesel,2035,148279,106000,D4,B20,0.223852,0.68243073016,7413.950000000001,1482.79,0.35177446392,46184.833175520005,8,10
LNG_S2_2035,2035,S2,D3,1053870,LNG_S2_2035,LNG,2035,189626,106000,D4,LNG,0.155767,0.38726635773,9481.300000000001,1896.26,0.14687737731,26946.56199486,2,10
BEV_S2_2033,2035,S2,D4,176929,BEV_S2_2033,BEV,2033,0,106000,D4,Electricity,0.85459,0.0,13296.29,9497.35,0.1003801414,22943.16156148,1,2
BEV_S2_2035,2035,S2,D4,176929,BEV_S2_2035,BEV,2035,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.1003801414,22037.114988399997,1,2
Diesel_S4_2035,2035,S4,D1,21666,Diesel_S4_2035,Diesel,2035,215678,118000,D4,B20,0.219827,0.67016019566,10783.900000000001,2156.78,0.34544933742,53703.70181556,1,1
Diesel_S4_2035,2035,S4,D2,1107787,Diesel_S4_2035,Diesel,2035,215678,118000,D4,B20,0.219827,0.67016019566,10783.900000000001,2156.78,0.34544933742,53703.70181556,6,10
LNG_S4_2035,2035,S4,D2,1107787,LNG_S4_2035,LNG,2035,275819,118000,D4,LNG,0.154278,0.38356442082000003,13790.95,2758.19,0.14547335454000002,33714.99583572,4,10
BEV_S4_2033,2035,S4,D3,147590,BEV_S4_2033,BEV,2033,0,118000,D4,Electricity,0.856448,0.0,19340.09,13814.35,0.10059838207999999,29458.639847168,1,2
BEV_S4_2035,2035,S4,D3,147590,BEV_S4_2035,BEV,2035,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.10059838207999999,28447.82908544,1,2
Diesel_S4_2035,2035,S4,D4,2369,Diesel_S4_2035,Diesel,2035,215678,118000,D4,B20,0.219827,0.67016019566,10783.900000000001,2156.78,0.34544933742,53703.70181556,1,1
BEV_S3_2033,2035,S3,D1,2908543,BEV_S3_2033,BEV,2033,0,73000,D4,Electricity,0.859516,0.0,15109.430000000002,10792.45,0.10095874935999999,20948.500872616,3,40
Diesel_S3_2033,2035,S3,D1,2908543,Diesel_S3_2033,Diesel,2033,0,73000,D4,B20,0.224082,0.68313190356,11117.820000000002,7941.3,0.35213589972000003,34176.301086060004,6,40
