Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost
BEV_S1_2031,2031,S1,D1,1042251,BEV_S1_2031,BEV,2031,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,7835.460079688716
Diesel_S1_2031,2031,S1,D1,1042251,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,6460.82217560408
Diesel_S1_2031,2031,S1,D1,1042251,Diesel_S1_2031,Diesel,2031,107675,102000,D4,HVO,0.223016,0.108747953984,5383.75,1076.75,0.37102725888,6460.87102725888
LNG_S1_2031,2031,S1,D1,1042251,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,7600.769364457621
LNG_S1_2031,2031,S1,D1,1042251,LNG_S1_2031,LNG,2031,126677,102000,D4,BioLNG,0.154381,0.058423791259,6333.85,1266.77,0.160247478,7600.780247478001
BEV_S1_2031,2031,S1,D2,3310718,BEV_S1_2031,BEV,2031,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,7835.460079688716
Diesel_S1_2031,2031,S1,D2,3310718,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,6460.82217560408
Diesel_S1_2031,2031,S1,D2,3310718,Diesel_S1_2031,Diesel,2031,107675,102000,D4,HVO,0.223016,0.108747953984,5383.75,1076.75,0.37102725888,6460.87102725888
LNG_S1_2031,2031,S1,D2,3310718,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,7600.769364457621
LNG_S1_2031,2031,S1,D2,3310718,LNG_S1_2031,LNG,2031,126677,102000,D4,BioLNG,0.154381,0.058423791259,6333.85,1266.77,0.160247478,7600.780247478001
BEV_S1_2031,2031,S1,D3,4061449,BEV_S1_2031,BEV,2031,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,7835.460079688716
Diesel_S1_2031,2031,S1,D3,4061449,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,6460.82217560408
Diesel_S1_2031,2031,S1,D3,4061449,Diesel_S1_2031,Diesel,2031,107675,102000,D4,HVO,0.223016,0.108747953984,5383.75,1076.75,0.37102725888,6460.87102725888
LNG_S1_2031,2031,S1,D3,4061449,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,7600.769364457621
LNG_S1_2031,2031,S1,D3,4061449,LNG_S1_2031,LNG,2031,126677,102000,D4,BioLNG,0.154381,0.058423791259,6333.85,1266.77,0.160247478,7600.780247478001
Diesel_S1_2031,2031,S1,D4,518651,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,6460.82217560408
Diesel_S1_2031,2031,S1,D4,518651,Diesel_S1_2031,Diesel,2031,107675,102000,D4,HVO,0.223016,0.108747953984,5383.75,1076.75,0.37102725888,6460.87102725888
LNG_S1_2031,2031,S1,D4,518651,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,7600.769364457621
LNG_S1_2031,2031,S1,D4,518651,LNG_S1_2031,LNG,2031,126677,102000,D4,BioLNG,0.154381,0.058423791259,6333.85,1266.77,0.160247478,7600.780247478001
BEV_S2_2031,2031,S2,D1,1240402,BEV_S2_2031,BEV,2031,189947,106000,D3,Electricity,0.85459,0.0,9497.35,1899.47,0.11820261584999998,11396.93820261585
Diesel_S2_2031,2031,S2,D1,1240402,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,7904.963383314761
Diesel_S2_2031,2031,S2,D1,1240402,Diesel_S2_2031,Diesel,2031,131744,106000,D4,HVO,0.223852,0.109155607648,6587.200000000001,1317.44,0.37241809536,7905.012418095362
LNG_S2_2031,2031,S2,D1,1240402,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,10108.950360638963
LNG_S2_2031,2031,S2,D1,1240402,LNG_S2_2031,LNG,2031,168480,106000,D4,BioLNG,0.155039,0.05867280412100001,8424.0,1684.8,0.160930482,10108.960930481999
BEV_S2_2031,2031,S2,D2,1689196,BEV_S2_2031,BEV,2031,189947,106000,D3,Electricity,0.85459,0.0,9497.35,1899.47,0.11820261584999998,11396.93820261585
Diesel_S2_2031,2031,S2,D2,1689196,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,7904.963383314761
Diesel_S2_2031,2031,S2,D2,1689196,Diesel_S2_2031,Diesel,2031,131744,106000,D4,HVO,0.223852,0.109155607648,6587.200000000001,1317.44,0.37241809536,7905.012418095362
LNG_S2_2031,2031,S2,D2,1689196,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,10108.950360638963
LNG_S2_2031,2031,S2,D2,1689196,LNG_S2_2031,LNG,2031,168480,106000,D4,BioLNG,0.155039,0.05867280412100001,8424.0,1684.8,0.160930482,10108.960930481999
BEV_S2_2031,2031,S2,D3,943472,BEV_S2_2031,BEV,2031,189947,106000,D3,Electricity,0.85459,0.0,9497.35,1899.47,0.11820261584999998,11396.93820261585
Diesel_S2_2031,2031,S2,D3,943472,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,7904.963383314761
Diesel_S2_2031,2031,S2,D3,943472,Diesel_S2_2031,Diesel,2031,131744,106000,D4,HVO,0.223852,0.109155607648,6587.200000000001,1317.44,0.37241809536,7905.012418095362
LNG_S2_2031,2031,S2,D3,943472,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,10108.950360638963
LNG_S2_2031,2031,S2,D3,943472,LNG_S2_2031,LNG,2031,168480,106000,D4,BioLNG,0.155039,0.05867280412100001,8424.0,1684.8,0.160930482,10108.960930481999
Diesel_S2_2031,2031,S2,D4,161977,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,7904.963383314761
Diesel_S2_2031,2031,S2,D4,161977,Diesel_S2_2031,Diesel,2031,131744,106000,D4,HVO,0.223852,0.109155607648,6587.200000000001,1317.44,0.37241809536,7905.012418095362
LNG_S2_2031,2031,S2,D4,161977,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,10108.950360638963
LNG_S2_2031,2031,S2,D4,161977,LNG_S2_2031,LNG,2031,168480,106000,D4,BioLNG,0.155039,0.05867280412100001,8424.0,1684.8,0.160930482,10108.960930481999
BEV_S4_2031,2031,S4,D1,18747,BEV_S4_2031,BEV,2031,276287,118000,D3,Electricity,0.856448,0.0,13814.35,2762.87,0.11845960511999999,16577.338459605122
Diesel_S4_2031,2031,S4,D1,18747,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,11497.93756867901
Diesel_S4_2031,2031,S4,D1,18747,Diesel_S4_2031,Diesel,2031,191627,118000,D4,HVO,0.219827,0.107192921048,9581.35,1916.27,0.36572178336,11497.985721783361
LNG_S4_2031,2031,S4,D1,18747,LNG_S4_2031,LNG,2031,245062,118000,D4,LNG,0.154278,0.38356442082000003,12253.1,2450.62,0.148923319176,14703.868923319178
LNG_S4_2031,2031,S4,D1,18747,LNG_S4_2031,LNG,2031,245062,118000,D4,BioLNG,0.154568,0.05849455935200001,12253.1,2450.62,0.16044158400000003,14703.880441584
BEV_S4_2031,2031,S4,D2,941960,BEV_S4_2031,BEV,2031,276287,118000,D3,Electricity,0.856448,0.0,13814.35,2762.87,0.11845960511999999,16577.338459605122
Diesel_S4_2031,2031,S4,D2,941960,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,11497.93756867901
Diesel_S4_2031,2031,S4,D2,941960,Diesel_S4_2031,Diesel,2031,191627,118000,D4,HVO,0.219827,0.107192921048,9581.35,1916.27,0.36572178336,11497.985721783361
LNG_S4_2031,2031,S4,D2,941960,LNG_S4_2031,LNG,2031,245062,118000,D4,LNG,0.154278,0.38356442082000003,12253.1,2450.62,0.148923319176,14703.868923319178
LNG_S4_2031,2031,S4,D2,941960,LNG_S4_2031,LNG,2031,245062,118000,D4,BioLNG,0.154568,0.05849455935200001,12253.1,2450.62,0.16044158400000003,14703.880441584
BEV_S4_2031,2031,S4,D3,139696,BEV_S4_2031,BEV,2031,276287,118000,D3,Electricity,0.856448,0.0,13814.35,2762.87,0.11845960511999999,16577.338459605122
Diesel_S4_2031,2031,S4,D3,139696,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,11497.93756867901
Diesel_S4_2031,2031,S4,D3,139696,Diesel_S4_2031,Diesel,2031,191627,118000,D4,HVO,0.219827,0.107192921048,9581.35,1916.27,0.36572178336,11497.985721783361
LNG_S4_2031,2031,S4,D3,139696,LNG_S4_2031,LNG,2031,245062,118000,D4,LNG,0.154278,0.38356442082000003,12253.1,2450.62,0.148923319176,14703.868923319178
LNG_S4_2031,2031,S4,D3,139696,LNG_S4_2031,LNG,2031,245062,118000,D4,BioLNG,0.154568,0.05849455935200001,12253.1,2450.62,0.16044158400000003,14703.880441584
Diesel_S4_2031,2031,S4,D4,2198,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,11497.93756867901
Diesel_S4_2031,2031,S4,D4,2198,Diesel_S4_2031,Diesel,2031,191627,118000,D4,HVO,0.219827,0.107192921048,9581.35,1916.27,0.36572178336,11497.985721783361
LNG_S4_2031,2031,S4,D4,2198,LNG_S4_2031,LNG,2031,245062,118000,D4,LNG,0.154278,0.38356442082000003,12253.1,2450.62,0.148923319176,14703.868923319178
LNG_S4_2031,2031,S4,D4,2198,LNG_S4_2031,LNG,2031,245062,118000,D4,BioLNG,0.154568,0.05849455935200001,12253.1,2450.62,0.16044158400000003,14703.880441584
BEV_S3_2031,2031,S3,D1,2619164,BEV_S3_2031,BEV,2031,215849,73000,D3,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.11888395553999999,12951.05888395554
Diesel_S3_2031,2031,S3,D1,2619164,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,8982.86371557966
Diesel_S3_2031,2031,S3,D1,2619164,Diesel_S3_2031,Diesel,2031,149709,73000,D4,HVO,0.224082,0.10926776116800001,7485.450000000001,1497.09,0.37280074176,8982.91280074176
LNG_S3_2031,2031,S3,D1,2619164,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,11487.448601876938
LNG_S3_2031,2031,S3,D1,2619164,LNG_S3_2031,LNG,2031,191455,73000,D4,BioLNG,0.155192,0.058730705288,9572.75,1914.55,0.161089296,11487.461089295999
BEV_S3_2031,2031,S3,D2,2814164,BEV_S3_2031,BEV,2031,215849,73000,D3,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.11888395553999999,12951.05888395554
Diesel_S3_2031,2031,S3,D2,2814164,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,8982.86371557966
Diesel_S3_2031,2031,S3,D2,2814164,Diesel_S3_2031,Diesel,2031,149709,73000,D4,HVO,0.224082,0.10926776116800001,7485.450000000001,1497.09,0.37280074176,8982.91280074176
LNG_S3_2031,2031,S3,D2,2814164,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,11487.448601876938
LNG_S3_2031,2031,S3,D2,2814164,LNG_S3_2031,LNG,2031,191455,73000,D4,BioLNG,0.155192,0.058730705288,9572.75,1914.55,0.161089296,11487.461089295999
BEV_S3_2031,2031,S3,D3,1234148,BEV_S3_2031,BEV,2031,215849,73000,D3,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.11888395553999999,12951.05888395554
Diesel_S3_2031,2031,S3,D3,1234148,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,8982.86371557966
Diesel_S3_2031,2031,S3,D3,1234148,Diesel_S3_2031,Diesel,2031,149709,73000,D4,HVO,0.224082,0.10926776116800001,7485.450000000001,1497.09,0.37280074176,8982.91280074176
LNG_S3_2031,2031,S3,D3,1234148,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,11487.448601876938
LNG_S3_2031,2031,S3,D3,1234148,LNG_S3_2031,LNG,2031,191455,73000,D4,BioLNG,0.155192,0.058730705288,9572.75,1914.55,0.161089296,11487.461089295999
Diesel_S3_2031,2031,S3,D4,242813,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,8982.86371557966
Diesel_S3_2031,2031,S3,D4,242813,Diesel_S3_2031,Diesel,2031,149709,73000,D4,HVO,0.224082,0.10926776116800001,7485.450000000001,1497.09,0.37280074176,8982.91280074176
LNG_S3_2031,2031,S3,D4,242813,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,11487.448601876938
LNG_S3_2031,2031,S3,D4,242813,LNG_S3_2031,LNG,2031,191455,73000,D4,BioLNG,0.155192,0.058730705288,9572.75,1914.55,0.161089296,11487.461089295999
