Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range
Diesel_S1_2026,S1,D1,Diesel,457913.55,0.6798821172799999,B20,4,9,884095,102000
LNG_S1_2026,S1,D1,LNG,608085.36,0.40942825539,LNG,5,9,884095,102000
BEV_S1_2026,S1,D2,BEV,560293.28,0.0,Electricity,2,29,2909150,102000
Diesel_S1_2026,S1,D2,Diesel,1533052.54,0.6798821172799999,B20,15,29,2909150,102000
LNG_S1_2026,S1,D2,LNG,1429623.42,0.40942825539,LNG,12,29,2909150,102000
Diesel_S1_2026,S1,D3,Diesel,1829156.05,0.6798821172799999,B20,18,35,3537030,102000
LNG_S1_2026,S1,D3,LNG,2003139.18,0.40942825539,LNG,17,35,3537030,102000
Diesel_S1_2026,S1,D4,Diesel,338521.95,0.6798821172799999,B20,3,5,446478,102000
LNG_S1_2026,S1,D4,LNG,268198.95,0.40942825539,LNG,2,5,446478,102000
Diesel_S2_2026,S2,D1,Diesel,888587.58,0.68243073016,B20,7,11,1090703,106000
LNG_S2_2026,S2,D1,LNG,660456.41,0.40588792083,LNG,4,11,1090703,106000
Diesel_S2_2026,S2,D2,Diesel,1016550.81,0.68243073016,B20,8,14,1452683,106000
LNG_S2_2026,S2,D2,LNG,963600.78,0.40588792083,LNG,6,14,1452683,106000
Diesel_S2_2026,S2,D3,Diesel,541952.52,0.68243073016,B20,4,8,825939,106000
LNG_S2_2026,S2,D3,LNG,649715.2,0.40588792083,LNG,4,8,825939,106000
LNG_S2_2026,S2,D4,LNG,319554.68,0.40588792083,LNG,2,2,141128,106000
BEV_S3_2026,S3,D1,BEV,739295.5,0.0,Electricity,2,32,2329773,73000
Diesel_S3_2026,S3,D1,Diesel,1964928.79,0.68313190356,B20,14,32,2329773,73000
LNG_S3_2026,S3,D1,LNG,2824687.48,0.40785201093,LNG,16,32,2329773,73000
BEV_S3_2026,S3,D2,BEV,754159.8,0.0,Electricity,2,35,2524893,73000
Diesel_S3_2026,S3,D2,Diesel,2370381.21,0.68313190356,B20,17,35,2524893,73000
LNG_S3_2026,S3,D2,LNG,2826676.01,0.40785201093,LNG,16,35,2524893,73000
Diesel_S3_2026,S3,D3,Diesel,1267737.29,0.68313190356,B20,9,16,1103927,73000
LNG_S3_2026,S3,D3,LNG,1251128.39,0.40785201093,LNG,7,16,1103927,73000
Diesel_S3_2026,S3,D4,Diesel,305710.57,0.68313190356,B20,2,4,219181,73000
LNG_S3_2026,S3,D4,LNG,367987.96,0.40785201093,LNG,2,4,219181,73000
Diesel_S4_2026,S4,D1,Diesel,179766.67,0.67016019566,B20,1,1,15916,118000
Diesel_S4_2026,S4,D2,Diesel,757641.43,0.67016019566,B20,4,7,794430,118000
LNG_S4_2026,S4,D2,LNG,715532.65,0.40901057547,LNG,3,7,794430,118000
LNG_S4_2026,S4,D3,LNG,458513.66,0.40901057547,LNG,2,2,126715,118000
Diesel_S4_2026,S4,D4,Diesel,175785.51,0.67016019566,B20,1,1,1989,118000
