Allocation,Operating Year,size,Distance_demand,demand,id,vehicle,Available Year,cost,yearly_range,Distance_vehicle,fuel,consumption_unitfuel_per_km,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles
LNG_S1_2027,2028,S1,D1,968137,LNG_S1_2027,LNG,2027,0,102000,D4,LNG,0.161965,0.40267576335,6753.0,3376.5,0.159116197615,23078.22459912,0.625498602973932,7.0,6,10
LNG_S1_2028,2028,S1,D1,968137,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883000004,5796.35,1159.27,0.154687488827,22733.743860354,0.41512510509028194,2.0,4,10
BEV_S1_2028,2028,S1,D2,3114155,BEV_S1_2028,BEV,2028,144697,102000,D2,Electricity,0.868161,0.0,7234.85,1446.97,0.135738708672,22527.168284544,0.8369175222210571,4.0,4,31
Diesel_S1_2028,2028,S1,D2,3114155,Diesel_S1_2028,Diesel,2028,98538,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,36763.98337632,0.19496728605811248,1.0,7,31
LNG_S1_2028,2028,S1,D2,3114155,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883000004,5796.35,1159.27,0.154687488827,22733.743860354,0.4982970004215536,2.0,20,31
LNG_S1_2027,2028,S1,D4,469168,LNG_S1_2027,LNG,2027,0,102000,D4,LNG,0.161965,0.40267576335,6753.0,3376.5,0.159116197615,23078.22459912,0.6584461374737858,6.0,3,5
LNG_S1_2028,2028,S1,D4,469168,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883000004,5796.35,1159.27,0.154687488827,22733.743860354,0.39739238689683154,2.0,2,5
BEV_S2_2026,2028,S2,D1,1142178,BEV_S2_2026,BEV,2026,0,106000,D2,Electricity,0.8968,0.0,0.0,0.0,0.1402164736,30120.945692800004,0.9485072667622014,8.0,3,11
LNG_S2_2027,2028,S2,D1,1142178,LNG_S2_2027,LNG,2027,0,106000,D4,LNG,0.162463,0.40391388597,8981.52,4490.76,0.159605438293,25999.113742352,0.6330401727175055,7.0,4,11
LNG_S2_2028,2028,S2,D1,1142178,LNG_S2_2028,LNG,2028,154183,106000,D4,LNG,0.155829,0.38742050151,7709.150000000001,1541.83,0.153088123719,25478.321114214,0.41575495898176673,2.0,4,11
LNG_S2_2026,2028,S2,D2,1546703,LNG_S2_2026,LNG,2026,0,106000,D4,LNG,0.163257,0.40588792083,0.0,0.0,0.160385472627,25921.174800822,0.633430903696417,6.0,6,15
LNG_S2_2027,2028,S2,D2,1546703,LNG_S2_2027,LNG,2027,0,106000,D4,LNG,0.162463,0.40391388597,8981.52,4490.76,0.159605438293,25999.113742352,0.6347067001774186,7.0,5,15
LNG_S2_2028,2028,S2,D2,1546703,LNG_S2_2028,LNG,2028,154183,106000,D4,LNG,0.155829,0.38742050151,7709.150000000001,1541.83,0.153088123719,25478.321114214,0.42087613664664064,2.0,4,15
LNG_S2_2026,2028,S2,D3,902415,LNG_S2_2026,LNG,2026,0,106000,D4,LNG,0.163257,0.40588792083,0.0,0.0,0.160385472627,25921.174800822,0.6585223868442794,5.0,1,9
