,Year,TotalCost,TotalCarbonEmissions
0,2023,25882884.21,107674186.8470795
1,2024,27138538.189999998,112240084.84706557
2,2025,28699187.0,116717300.56755076
3,2026,31016404.35,119640644.74886939
4,2027,32121630.119999997,123075851.34500854
5,2028,34339302.11000001,125029111.4854419
6,2029,36962960.97,124595529.86837825
7,2030,37619011.94,125735833.95970677
8,2031,39119175.96,138973401.9717701
9,2032,41580479.90999999,136187865.33407512
10,2033,44342416.730000004,120558267.40616068
11,2034,46080735.69,122728924.18985024
12,2035,48734188.72,141384295.14381754
13,2036,51317755.870000005,133712598.86028966
14,2037,53679588.98,126409466.1885022
15,2038,57168947.16,105727854.30483146
