Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,Distance
BEV_S1_2023,2023,S1,D1,869181,BEV_S1_2023,BEV,2023,187000,102000,D1,Electricity,0.893043,0.0,9350.0,1870.0,0.171277610013,11220.171277610012,0.7258175258906131,3.0,D1
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,5100.27226685344,0.27418247410938684,1.0,D1
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.223016,0.108747953984,4250.0,850.0,0.40462015896000003,5100.40462015896,0.8520374284093918,4.0,D1
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,6000.16743019134,0.45605889452344417,2.0,D1
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.165159,0.062502606801,5000.0,1000.0,0.17966326338,6000.17966326338,0.899705460755147,5.0,D1
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,5100.27226685344,0.07989596949657073,1.0,D2
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.223016,0.108747953984,4250.0,850.0,0.40462015896000003,5100.40462015896,0.9253974102337429,4.0,D2
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,6000.16743019134,0.43187756136569533,2.0,D2
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.165159,0.062502606801,5000.0,1000.0,0.17966326338,6000.17966326338,0.9201040305034294,3.0,D2
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,5100.27226685344,0.07989596949657073,1.0,D3
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.223016,0.108747953984,4250.0,850.0,0.40462015896000003,5100.40462015896,0.9253974102337429,4.0,D3
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,6000.16743019134,0.43187756136569533,2.0,D3
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.165159,0.062502606801,5000.0,1000.0,0.17966326338,6000.17966326338,0.9201040305034294,3.0,D3
Diesel_S1_2023,2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,5100.27226685344,0.07989596949657073,1.0,D4
Diesel_S1_2023,2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.223016,0.108747953984,4250.0,850.0,0.40462015896000003,5100.40462015896,0.9253974102337429,4.0,D4
LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,6000.16743019134,0.43187756136569533,2.0,D4
LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.165159,0.062502606801,5000.0,1000.0,0.17966326338,6000.17966326338,0.9201040305034294,3.0,D4
BEV_S2_2023,2023,S2,D1,995694,BEV_S2_2023,BEV,2023,272000,106000,D1,Electricity,0.8968,0.0,13600.0,2720.0,0.1719981688,16320.1719981688,0.6885480566999332,3.0,D1
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,6240.27328747568,0.3114519433000667,1.0,D1
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,6240.40613692212,0.8564220758606369,4.0,D1
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,7980.16715907718,0.473686403573251,2.0,D1
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,7980.1818671867,0.8900753962455146,5.0,D1
Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,6240.27328747568,0.1153926363692952,1.0,D2
Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,6240.40613692212,0.926561040356452,4.0,D2
LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,7980.16715907718,0.4322174238414303,2.0,D2
LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,7980.1818671867,0.8846073636307048,3.0,D2
Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,6240.27328747568,0.1153926363692952,1.0,D3
