Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2027,2027,S1,D1,923004,BEV_S1_2027,BEV,2027,152312,102000,D2,Electricity,0.868161,0.0,7615.6,1523.1200000000001,0.14139998655299998,161450.86139998655,0.7950530177367007,3.0,D1
Diesel_S1_2027,2027,S1,D1,923004,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.223016,0.6798821172799999,4783.400000000001,956.6800000000001,0.29617193848,101408.37617193848,0.20494698226329947,5.0,D1
Diesel_S1_2027,2027,S1,D1,923004,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.223016,0.108747953984,4783.400000000001,956.6800000000001,0.38746130792,101408.46746130793,0.8460025271221657,2.0,D1
LNG_S1_2027,2027,S1,D1,923004,LNG_S1_2027,LNG,2027,112550,102000,D4,LNG,0.161965,0.40267576335,5627.5,1125.5,0.16005122155999998,119303.16005122157,0.42755854658940956,4.0,D1
LNG_S1_2027,2027,S1,D1,923004,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.159467,0.060348532013,5627.5,1125.5,0.16945282354,119303.16945282354,0.8878142848788404,1.0,D1
BEV_S1_2027,2027,S1,D2,3023153,BEV_S1_2027,BEV,2027,152312,102000,D2,Electricity,0.868161,0.0,7615.6,1523.1200000000001,0.14139998655299998,161450.86139998655,0.7950530177367007,3.0,D2
Diesel_S1_2027,2027,S1,D2,3023153,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.223016,0.6798821172799999,4783.400000000001,956.6800000000001,0.29617193848,101408.37617193848,0.20494698226329947,5.0,D2
Diesel_S1_2027,2027,S1,D2,3023153,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.223016,0.108747953984,4783.400000000001,956.6800000000001,0.38746130792,101408.46746130793,0.8460025271221657,2.0,D2
LNG_S1_2027,2027,S1,D2,3023153,LNG_S1_2027,LNG,2027,112550,102000,D4,LNG,0.161965,0.40267576335,5627.5,1125.5,0.16005122155999998,119303.16005122157,0.42755854658940956,4.0,D2
LNG_S1_2027,2027,S1,D2,3023153,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.159467,0.060348532013,5627.5,1125.5,0.16945282354,119303.16945282354,0.8878142848788404,1.0,D2
Diesel_S1_2027,2027,S1,D3,3581681,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.223016,0.6798821172799999,4783.400000000001,956.6800000000001,0.29617193848,101408.37617193848,0.09448257359240057,4.0,D3
Diesel_S1_2027,2027,S1,D3,3581681,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.223016,0.108747953984,4783.400000000001,956.6800000000001,0.38746130792,101408.46746130793,0.9223347811098948,1.0,D3
LNG_S1_2027,2027,S1,D3,3581681,LNG_S1_2027,LNG,2027,112550,102000,D4,LNG,0.161965,0.40267576335,5627.5,1125.5,0.16005122155999998,119303.16005122157,0.44311649627821126,3.0,D3
LNG_S1_2027,2027,S1,D3,3581681,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.159467,0.060348532013,5627.5,1125.5,0.16945282354,119303.16945282354,0.9055174264075995,2.0,D3
Diesel_S1_2027,2027,S1,D4,467174,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.223016,0.6798821172799999,4783.400000000001,956.6800000000001,0.29617193848,101408.37617193848,0.09448257359240057,4.0,D4
Diesel_S1_2027,2027,S1,D4,467174,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.223016,0.108747953984,4783.400000000001,956.6800000000001,0.38746130792,101408.46746130793,0.9223347811098948,1.0,D4
LNG_S1_2027,2027,S1,D4,467174,LNG_S1_2027,LNG,2027,112550,102000,D4,LNG,0.161965,0.40267576335,5627.5,1125.5,0.16005122155999998,119303.16005122157,0.44311649627821126,3.0,D4
LNG_S1_2027,2027,S1,D4,467174,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.159467,0.060348532013,5627.5,1125.5,0.16945282354,119303.16945282354,0.9055174264075995,2.0,D4
BEV_S2_2027,2027,S2,D1,1114957,BEV_S2_2027,BEV,2027,221545,106000,D2,Electricity,0.85459,0.0,11077.25,2215.4500000000003,0.13918963706999998,234837.83918963707,0.7391286278023089,3.0,D1
Diesel_S2_2027,2027,S2,D1,1114957,Diesel_S2_2027,Diesel,2027,117052,106000,D4,B20,0.223852,0.68243073016,5852.6,1170.52,0.29728217156000003,124075.41728217156,0.260871372197691,5.0,D1
Diesel_S2_2027,2027,S2,D1,1114957,Diesel_S2_2027,Diesel,2027,117052,106000,D4,HVO,0.223852,0.109155607648,5852.6,1170.52,0.38891374924,124075.50891374925,0.8506709750199138,2.0,D1
LNG_S2_2027,2027,S2,D1,1114957,LNG_S2_2027,LNG,2027,149692,106000,D4,LNG,0.162463,0.40391388597,7484.6,1496.92,0.16054333719199998,158673.6805433372,0.44093121288750603,4.0,D1
LNG_S2_2027,2027,S2,D1,1114957,LNG_S2_2027,LNG,2027,149692,106000,D4,BioLNG,0.161171,0.06099339206900001,7484.6,1496.92,0.17126352802,158673.69126352802,0.8691134011115497,1.0,D1
BEV_S2_2027,2027,S2,D2,1480077,BEV_S2_2027,BEV,2027,221545,106000,D2,Electricity,0.85459,0.0,11077.25,2215.4500000000003,0.13918963706999998,234837.83918963707,0.7391286278023089,3.0,D2
Diesel_S2_2027,2027,S2,D2,1480077,Diesel_S2_2027,Diesel,2027,117052,106000,D4,B20,0.223852,0.68243073016,5852.6,1170.52,0.29728217156000003,124075.41728217156,0.260871372197691,5.0,D2
Diesel_S2_2027,2027,S2,D2,1480077,Diesel_S2_2027,Diesel,2027,117052,106000,D4,HVO,0.223852,0.109155607648,5852.6,1170.52,0.38891374924,124075.50891374925,0.8506709750199138,2.0,D2
LNG_S2_2027,2027,S2,D2,1480077,LNG_S2_2027,LNG,2027,149692,106000,D4,LNG,0.162463,0.40391388597,7484.6,1496.92,0.16054333719199998,158673.6805433372,0.44093121288750603,4.0,D2
LNG_S2_2027,2027,S2,D2,1480077,LNG_S2_2027,LNG,2027,149692,106000,D4,BioLNG,0.161171,0.06099339206900001,7484.6,1496.92,0.17126352802,158673.69126352802,0.8691134011115497,1.0,D2
Diesel_S2_2027,2027,S2,D3,862851,Diesel_S2_2027,Diesel,2027,117052,106000,D4,B20,0.223852,0.68243073016,5852.6,1170.52,0.29728217156000003,124075.41728217156,0.1356250557377513,4.0,D3
Diesel_S2_2027,2027,S2,D3,862851,Diesel_S2_2027,Diesel,2027,117052,106000,D4,HVO,0.223852,0.109155607648,5852.6,1170.52,0.38891374924,124075.50891374925,0.9235120359801233,1.0,D3
LNG_S2_2027,2027,S2,D3,862851,LNG_S2_2027,LNG,2027,149692,106000,D4,LNG,0.162463,0.40391388597,7484.6,1496.92,0.16054333719199998,158673.6805433372,0.4385880819344249,3.0,D3
LNG_S2_2027,2027,S2,D3,862851,LNG_S2_2027,LNG,2027,149692,106000,D4,BioLNG,0.161171,0.06099339206900001,7484.6,1496.92,0.17126352802,158673.69126352802,0.8643749442622487,2.0,D3
Diesel_S2_2027,2027,S2,D4,146448,Diesel_S2_2027,Diesel,2027,117052,106000,D4,B20,0.223852,0.68243073016,5852.6,1170.52,0.29728217156000003,124075.41728217156,0.1356250557377513,4.0,D4
Diesel_S2_2027,2027,S2,D4,146448,Diesel_S2_2027,Diesel,2027,117052,106000,D4,HVO,0.223852,0.109155607648,5852.6,1170.52,0.38891374924,124075.50891374925,0.9235120359801233,1.0,D4
LNG_S2_2027,2027,S2,D4,146448,LNG_S2_2027,LNG,2027,149692,106000,D4,LNG,0.162463,0.40391388597,7484.6,1496.92,0.16054333719199998,158673.6805433372,0.4385880819344249,3.0,D4
LNG_S2_2027,2027,S2,D4,146448,LNG_S2_2027,LNG,2027,149692,106000,D4,BioLNG,0.161171,0.06099339206900001,7484.6,1496.92,0.17126352802,158673.69126352802,0.8643749442622487,2.0,D4
BEV_S3_2027,2027,S3,D1,2381369,BEV_S3_2027,BEV,2027,251756,73000,D2,Electricity,0.859516,0.0,12587.800000000001,2517.56,0.13999194946799998,266861.4999919495,0.7395950210371669,3.0,D1
Diesel_S3_2027,2027,S3,D1,2381369,Diesel_S3_2027,Diesel,2027,133014,73000,D4,B20,0.224082,0.68313190356,6650.700000000001,1330.14,0.29758761846000004,140995.13758761846,0.26040497896283316,5.0,D1
Diesel_S3_2027,2027,S3,D1,2381369,Diesel_S3_2027,Diesel,2027,133014,73000,D4,HVO,0.224082,0.10926776116800001,6650.700000000001,1330.14,0.38931334434000003,140995.22931334435,0.8506249377328104,2.0,D1
LNG_S3_2027,2027,S3,D1,2381369,LNG_S3_2027,LNG,2027,170105,73000,D4,LNG,0.161089,0.40049786091000006,8505.25,1701.05,0.159185572376,180311.45918557237,0.4455655629285426,4.0,D1
LNG_S3_2027,2027,S3,D1,2381369,LNG_S3_2027,LNG,2027,170105,73000,D4,BioLNG,0.160634,0.060790170326,8505.25,1701.05,0.17069290108,180311.4706929011,0.8695027891125955,1.0,D1
