Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
LNG_S1_2027,2029,S1,D1,923004,LNG_S1_2027,LNG,2027,0,102000,D4,LNG,0.161965,0.40267576335,5627.5,1125.5,0.1600512215599999,6753.16005122156,0.43865105302425106,4.0,1.0,10.0,D1
BEV_S1_2028,2029,S1,D1,968137,BEV_S1_2028,BEV,2028,0,102000,D2,Electricity,0.868161,0.0,7234.85,1446.97,0.135738708672,8681.955738708672,0.8480833690662669,9.0,2.0,10.0,D1
Diesel_S1_2028,2029,S1,D1,968137,Diesel_S1_2028,Diesel,2028,0,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,5912.58246768016,0.2055017517709642,2.0,3.0,10.0,D1
LNG_S1_2028,2029,S1,D1,968137,LNG_S1_2028,LNG,2028,0,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,6955.774687488828,0.4508169846421164,5.0,4.0,10.0,D1
BEV_S1_2029,2029,S1,D1,1009629,BEV_S1_2029,BEV,2029,137462,102000,D3,Electricity,0.868161,0.0,6873.1,1374.6200000000001,0.130304020812,8247.850304020812,0.8068963392275283,7.0,,,D1
Diesel_S1_2029,2029,S1,D1,1009629,Diesel_S1_2029,Diesel,2029,101494,102000,D4,B20,0.223016,0.6798821172799999,5074.700000000001,1014.94,0.3088994616,6089.948899461601,0.14928951899788329,1.0,,,D1
Diesel_S1_2029,2029,S1,D1,1009629,Diesel_S1_2029,Diesel,2029,101494,102000,D4,HVO,0.223016,0.108747953984,5074.700000000001,1014.94,0.37915396192,6090.019153961921,0.8034472313168779,6.0,,,D1
LNG_S1_2029,2029,S1,D1,1009629,LNG_S1_2029,LNG,2029,119405,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,7164.451125187185,0.4290750915676002,3.0,,,D1
LNG_S1_2029,2029,S1,D1,1009629,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.154381,0.058423791259,5970.25,1194.05,0.16213710144,7164.46213710144,0.8221070098648903,8.0,,,D1
BEV_S1_2026,2029,S1,D2,2909150,BEV_S1_2026,BEV,2026,0,102000,D2,Electricity,0.893043,0.0,8016.450000000001,1603.29,0.151519033638,9619.89151903364,0.8591188370801843,8.0,3.0,28.0,D2
BEV_S1_2027,2029,S1,D2,3023153,BEV_S1_2027,BEV,2027,0,102000,D2,Electricity,0.868161,0.0,7615.6,1523.12,0.1413999865529999,9138.861399986554,0.8759622234981387,9.0,5.0,28.0,D2
LNG_S1_2027,2029,S1,D2,3023153,LNG_S1_2027,LNG,2027,0,102000,D4,LNG,0.161965,0.40267576335,5627.5,1125.5,0.1600512215599999,6753.16005122156,0.43410623744850674,2.0,7.0,28.0,D2
BEV_S1_2028,2029,S1,D2,3114155,BEV_S1_2028,BEV,2028,0,102000,D2,Electricity,0.868161,0.0,7234.85,1446.97,0.135738708672,8681.955738708672,0.8926201027239187,10.0,3.0,28.0,D2
LNG_S1_2028,2029,S1,D2,3114155,LNG_S1_2028,LNG,2028,0,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,6955.774687488828,0.44730764452360955,4.0,10.0,28.0,D2
BEV_S1_2029,2029,S1,D2,3188349,BEV_S1_2029,BEV,2029,137462,102000,D3,Electricity,0.868161,0.0,6873.1,1374.6200000000001,0.130304020812,8247.850304020812,0.8467411300009038,6.0,,,D2
Diesel_S1_2029,2029,S1,D2,3188349,Diesel_S1_2029,Diesel,2029,101494,102000,D4,B20,0.223016,0.6798821172799999,5074.700000000001,1014.94,0.3088994616,6089.948899461601,0.14485476274347944,1.0,,,D2
Diesel_S1_2029,2029,S1,D2,3188349,Diesel_S1_2029,Diesel,2029,101494,102000,D4,HVO,0.223016,0.108747953984,5074.700000000001,1014.94,0.37915396192,6090.019153961921,0.8148846347823606,5.0,,,D2
LNG_S1_2029,2029,S1,D2,3188349,LNG_S1_2029,LNG,2029,119405,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,7164.451125187185,0.43547758820890486,3.0,,,D2
LNG_S1_2029,2029,S1,D2,3188349,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.154381,0.058423791259,5970.25,1194.05,0.16213710144,7164.46213710144,0.8486737836854698,7.0,,,D2
Diesel_S1_2028,2029,S1,D3,3731269,Diesel_S1_2028,Diesel,2028,0,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,5912.58246768016,0.19460643481133308,2.0,14.0,37.0,D3
LNG_S1_2028,2029,S1,D3,3731269,LNG_S1_2028,LNG,2028,0,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,6955.774687488828,0.4459820375249158,4.0,23.0,37.0,D3
BEV_S1_2029,2029,S1,D3,3892298,BEV_S1_2029,BEV,2029,137462,102000,D3,Electricity,0.868161,0.0,6873.1,1374.6200000000001,0.130304020812,8247.850304020812,0.805393565188667,5.0,,,D3
Diesel_S1_2029,2029,S1,D3,3892298,Diesel_S1_2029,Diesel,2029,101494,102000,D4,B20,0.223016,0.6798821172799999,5074.700000000001,1014.94,0.3088994616,6089.948899461601,0.13883976951030688,1.0,,,D3
Diesel_S1_2029,2029,S1,D3,3892298,Diesel_S1_2029,Diesel,2029,101494,102000,D4,HVO,0.223016,0.108747953984,5074.700000000001,1014.94,0.37915396192,6090.019153961921,0.8067394562892868,6.0,,,D3
LNG_S1_2029,2029,S1,D3,3892298,LNG_S1_2029,LNG,2029,119405,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,7164.451125187185,0.4271913184720716,3.0,,,D3
LNG_S1_2029,2029,S1,D3,3892298,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.154381,0.058423791259,5970.25,1194.05,0.16213710144,7164.46213710144,0.824608019175551,7.0,,,D3
Diesel_S1_2028,2029,S1,D4,469168,Diesel_S1_2028,Diesel,2028,0,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,5912.58246768016,0.1822882429528988,2.0,3.0,5.0,D4
LNG_S1_2028,2029,S1,D4,469168,LNG_S1_2028,LNG,2028,0,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,6955.774687488828,0.4804907566247885,4.0,2.0,5.0,D4
Diesel_S1_2029,2029,S1,D4,484671,Diesel_S1_2029,Diesel,2029,101494,102000,D4,B20,0.223016,0.6798821172799999,5074.700000000001,1014.94,0.3088994616,6089.948899461601,0.08966385436759963,1.0,,,D4
Diesel_S1_2029,2029,S1,D4,484671,Diesel_S1_2029,Diesel,2029,101494,102000,D4,HVO,0.223016,0.108747953984,5074.700000000001,1014.94,0.37915396192,6090.019153961921,0.8341928139207303,6.0,,,D4
LNG_S1_2029,2029,S1,D4,484671,LNG_S1_2029,LNG,2029,119405,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,7164.451125187185,0.45436859978704,3.0,,,D4
LNG_S1_2029,2029,S1,D4,484671,LNG_S1_2029,LNG,2029,119405,102000,D4,BioLNG,0.154381,0.058423791259,5970.25,1194.05,0.16213710144,7164.46213710144,0.8177117570471011,5.0,,,D4
Diesel_S2_2028,2029,S2,D1,1142178,Diesel_S2_2028,Diesel,2028,0,106000,D4,B20,0.223852,0.68243073016,6028.200000000001,1205.64,0.30360151352,7234.143601513521,0.24292746484484165,2.0,6.0,11.0,D1
LNG_S2_2028,2029,S2,D1,1142178,LNG_S2_2028,LNG,2028,0,106000,D4,LNG,0.155829,0.38742050151,7709.150000000001,1541.83,0.153088123719,9251.13308812372,0.4610161235322033,4.0,5.0,11.0,D1
BEV_S2_2029,2029,S2,D1,1173616,BEV_S2_2029,BEV,2029,199944,106000,D3,Electricity,0.85459,0.0,9997.2,1999.44,0.12826712228,11996.768267122281,0.7570725351551584,5.0,,,D1
Diesel_S2_2029,2029,S2,D1,1173616,Diesel_S2_2029,Diesel,2029,124181,106000,D4,B20,0.223852,0.68243073016,6209.05,1241.81,0.31005740519999997,7451.1700574052,0.2041407859009525,1.0,,,D1
Diesel_S2_2029,2029,S2,D1,1173616,Diesel_S2_2029,Diesel,2029,124181,106000,D4,HVO,0.223852,0.109155607648,6209.05,1241.81,0.38057526224,7451.240575262241,0.8158626377843989,7.0,,,D1
LNG_S2_2029,2029,S2,D1,1173616,LNG_S2_2029,LNG,2029,158808,106000,D4,LNG,0.155767,0.38726635773,7940.400000000001,1588.08,0.15213311165699997,9528.632133111656,0.43110521475026636,3.0,,,D1
LNG_S2_2029,2029,S2,D1,1173616,LNG_S2_2029,LNG,2029,158808,106000,D4,BioLNG,0.155039,0.05867280412100001,7940.400000000001,1588.08,0.16282815936000003,9528.64282815936,0.8127840873989675,6.0,,,D1
LNG_S2_2027,2029,S2,D2,1480077,LNG_S2_2027,LNG,2027,0,106000,D4,LNG,0.162463,0.40391388597,7484.6,1496.92,0.1605433371919999,8981.680543337192,0.44625511014414393,4.0,3.0,14.0,D2
Diesel_S2_2028,2029,S2,D2,1546703,Diesel_S2_2028,Diesel,2028,0,106000,D4,B20,0.223852,0.68243073016,6028.200000000001,1205.64,0.30360151352,7234.143601513521,0.2464941024627565,2.0,6.0,14.0,D2
LNG_S2_2028,2029,S2,D2,1546703,LNG_S2_2028,LNG,2028,0,106000,D4,LNG,0.155829,0.38742050151,7709.150000000001,1541.83,0.153088123719,9251.13308812372,0.46328461885122696,5.0,5.0,14.0,D2
BEV_S2_2029,2029,S2,D2,1608555,BEV_S2_2029,BEV,2029,199944,106000,D3,Electricity,0.85459,0.0,9997.2,1999.44,0.12826712228,11996.768267122281,0.7535058975372435,6.0,,,D2
Diesel_S2_2029,2029,S2,D2,1608555,Diesel_S2_2029,Diesel,2029,124181,106000,D4,B20,0.223852,0.68243073016,6209.05,1241.81,0.31005740519999997,7451.1700574052,0.20417538281321151,1.0,,,D2
