Operating Year,ID,Num_Vehicles,Distance_bucket,Distance_per_vehicle(km),Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs
2023,BEV_S1_2023,9.0,D1,96575.66666666667,Electricity,0.0,84150.0,16830.0,148871.24434870936
2023,Diesel_S1_2023,9.0,D4,96575.66666666667,B20,590940.6185795476,38250.0,7650.0,236649.1759398326
2023,Diesel_S1_2023,9.0,D4,96575.66666666667,HVO,94521.6553917671,38250.0,7650.0,351688.15438501176
2023,LNG_S1_2023,9.0,D4,96575.66666666667,LNG,357652.2044133177,45000.0,9000.0,145527.1411390925
2023,LNG_S1_2023,9.0,D4,96575.66666666667,BioLNG,54326.07828189999,45000.0,9000.0,156159.8949278918
2023,Diesel_S1_2023,26.0,D4,99888.23076923077,B20,1765717.7674951842,110500.0,22100.0,707102.6114679034
2023,Diesel_S1_2023,26.0,D4,99888.23076923077,HVO,282428.6588041225,110500.0,22100.0,1050836.5871140624
2023,LNG_S1_2023,26.0,D4,99888.23076923077,LNG,1068657.039406753,130000.0,26000.0,434831.9453479659
2023,LNG_S1_2023,26.0,D4,99888.23076923077,BioLNG,162325.1451072363,130000.0,26000.0,466602.38334461773
2023,Diesel_S1_2023,33.0,D4,99757.90909090909,B20,2238179.40878905,140250.0,28050.0,896305.4764598677
2023,Diesel_S1_2023,33.0,D4,99757.90909090909,HVO,357999.4607428218,140250.0,28050.0,1332014.0141180686
2023,LNG_S1_2023,33.0,D4,99757.90909090909,LNG,1354602.7710026915,165000.0,33000.0,551182.0316233847
2023,LNG_S1_2023,33.0,D4,99757.90909090909,BioLNG,205759.26911756684,165000.0,33000.0,591453.4393428571
2023,Diesel_S1_2023,5.0,D4,82863.0,B20,281685.3594208632,21250.0,4250.0,112804.24138299358
2023,Diesel_S1_2023,5.0,D4,82863.0,HVO,45055.90855488096,21250.0,4250.0,167640.2011595124
2023,LNG_S1_2023,5.0,D4,82863.0,LNG,170483.10199084395,25000.0,5000.0,69368.83972503208
2023,LNG_S1_2023,5.0,D4,82863.0,BioLNG,25895.767536756317,25000.0,5000.0,74437.1849672847
2023,BEV_S2_2023,10.0,D1,99569.4,Electricity,0.0,136000.0,27200.0,171257.5446851472
2023,Diesel_S2_2023,10.0,D4,99569.4,B20,679492.183435931,52000.0,10400.0,272110.6998097219
2023,Diesel_S2_2023,10.0,D4,99569.4,HVO,108685.5836014677,52000.0,10400.0,404388.0965333513
2023,LNG_S2_2023,10.0,D4,99569.4,LNG,409046.5776542406,66500.0,13300.0,166439.29019366292
2023,LNG_S2_2023,10.0,D4,99569.4,BioLNG,62996.88650493021,66500.0,13300.0,181084.0665940698
2023,Diesel_S2_2023,14.0,D4,98799.71428571429,B20,943935.4562343913,72800.0,14560.0,378010.14321067324
2023,Diesel_S2_2023,14.0,D4,98799.71428571429,HVO,150983.599876283,72800.0,14560.0,561766.9661286955
2023,LNG_S2_2023,14.0,D4,98799.71428571429,LNG,568238.4246817144,93100.0,18620.0,231213.76691906728
2023,LNG_S2_2023,14.0,D4,98799.71428571429,BioLNG,87513.87617689115,93100.0,18620.0,251557.9651746932
2023,Diesel_S2_2023,8.0,D4,97251.0,B20,530936.5675103213,41600.0,8320.0,212619.8423788454
2023,Diesel_S2_2023,8.0,D4,97251.0,HVO,84923.93599500519,41600.0,8320.0,315977.77450473694
2023,LNG_S2_2023,8.0,D4,97251.0,LNG,319617.7839653753,53200.0,10640.0,130051.09931865743
2023,LNG_S2_2023,8.0,D4,97251.0,BioLNG,49224.040393863725,53200.0,10640.0,141494.1261900936
2023,Diesel_S2_2023,2.0,D4,66838.5,B20,91225.2927155983,10400.0,2080.0,36532.24988647536
2023,Diesel_S2_2023,2.0,D4,66838.5,HVO,14591.594163561696,10400.0,2080.0,54291.165338235245
2023,LNG_S2_2023,2.0,D4,66838.5,LNG,54916.59019848057,13300.0,2660.0,22345.32396019086
2023,LNG_S2_2023,2.0,D4,66838.5,BioLNG,8457.653453088556,13300.0,2660.0,24311.4599164959
2023,BEV_S4_2023,1.0,D1,14576.0,Electricity,0.0,19781.800000000003,3956.36,2517.847296689024
2023,Diesel_S4_2023,1.0,D4,14576.0,B20,9768.255011940159,7563.6,1512.72,3911.8135160556794
2023,Diesel_S4_2023,1.0,D4,14576.0,HVO,1562.444017195648,7563.6,1512.72,5813.40911201712
2023,LNG_S4_2023,1.0,D4,14576.0,LNG,6061.793213770561,9672.7,1934.54,2466.51754327488
2023,LNG_S4_2023,1.0,D4,14576.0,BioLNG,916.1624785880322,9672.7,1934.54,2633.50201078016
2023,Diesel_S4_2023,7.0,D4,107816.71428571429,B20,505781.29238792823,52945.200000000004,10589.04,202546.11425610556
2023,Diesel_S4_2023,7.0,D4,107816.71428571429,HVO,80900.31979458341,52945.200000000004,10589.04,301007.0447855533
2023,LNG_S4_2023,7.0,D4,107816.71428571429,LNG,313867.891665565,67708.90000000001,13541.779999999999,127711.49291354195
2023,LNG_S4_2023,7.0,D4,107816.71428571429,BioLNG,47437.11562517315,67708.90000000001,13541.779999999999,136357.62466177074
2023,Diesel_S4_2023,2.0,D4,59449.5,B20,79681.37710377834,15127.2,3025.44,31909.352033857318
2023,Diesel_S4_2023,2.0,D4,59449.5,HVO,12745.131119686152,15127.2,3025.44,47421.00233326863
2023,LNG_S4_2023,2.0,D4,59449.5,LNG,49447.115211587945,19345.4,3869.08,20119.81815160812
2023,LNG_S4_2023,2.0,D4,59449.5,BioLNG,7473.298747368169,19345.4,3869.08,21481.939872375842
2023,Diesel_S4_2023,1.0,D4,1809.0,B20,1212.3197939489398,7563.6,1512.72,485.48783277611994
2023,Diesel_S4_2023,1.0,D4,1809.0,HVO,193.91199417583198,7563.6,1512.72,721.49129278533
2023,LNG_S4_2023,1.0,D4,1809.0,LNG,752.3177774225401,9672.7,1934.54,306.11486249892005
2023,LNG_S4_2023,1.0,D4,1809.0,BioLNG,113.70320552728802,9672.7,1934.54,326.83899132144
2023,BEV_S3_2023,30.0,D1,72782.5,Electricity,0.0,463635.0,92727.0,376057.48295761115
2023,Diesel_S3_2023,30.0,D4,72782.5,B20,1491601.433125671,177271.5,35454.299999999996,597329.475892758
2023,Diesel_S3_2023,30.0,D4,72782.5,HVO,238583.42481629882,177271.5,35454.299999999996,887700.9611472347
2023,LNG_S3_2023,30.0,D4,72782.5,LNG,894747.2117245358,226704.0,45340.8,364068.7857021285
2023,LNG_S3_2023,30.0,D4,72782.5,BioLNG,136080.3811394391,226704.0,45340.8,391162.01081575797
2023,Diesel_S3_2023,34.0,D4,71526.5,B20,1661309.1593994675,200907.7,40181.54,665290.9466575409
2023,Diesel_S3_2023,34.0,D4,71526.5,HVO,265728.37765222037,200907.7,40181.54,988699.5981703115
2023,LNG_S3_2023,34.0,D4,71526.5,LNG,996547.5395596975,256931.2,51386.240000000005,405490.90052223724
2023,LNG_S3_2023,34.0,D4,71526.5,BioLNG,151562.99704525268,256931.2,51386.240000000005,435666.6713678209
2023,Diesel_S3_2023,14.0,D4,71604.71428571429,B20,684816.5068341789,82726.7,16545.34,274242.8882310581
2023,Diesel_S3_2023,14.0,D4,71604.71428571429,HVO,109537.2154670403,82726.7,16545.34,407556.77611029375
2023,LNG_S3_2023,14.0,D4,71604.71428571429,LNG,410791.81504191644,105795.2,21159.04,167149.41976787915
