,Allocation,Year,Size,Distance_x,Demand (km),ID,Vehicle,Cost ($),Yearly range (km),Distance_y,Operating Year,Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs
0,BEV_S1_2023,2024,S1,D1,877242,BEV_S1_2023,BEV,187000,102000,D1,2024,Electricity,0.0,11220.0,5610.0,16770.924237618
1,BEV_S1_2024,2024,S1,D1,877242,BEV_S1_2024,BEV,177650,102000,D1,2024,Electricity,0.0,8882.5,1776.5,16770.924237618
2,Diesel_S1_2023,2024,S1,D1,877242,Diesel_S1_2023,Diesel,85000,102000,D4,2024,B20,69347.97596256,5100.0,2550.0,28361.747577599996
3,Diesel_S1_2023,2024,S1,D1,877242,Diesel_S1_2023,Diesel,85000,102000,D4,2024,HVO,11092.291306368,5100.0,2550.0,40826.54000831999
4,Diesel_S1_2024,2024,S1,D1,877242,Diesel_S1_2024,Diesel,87550,102000,D4,2024,B20,69347.97596256,4377.5,875.5,28361.747577599996
5,Diesel_S1_2024,2024,S1,D1,877242,Diesel_S1_2024,Diesel,87550,102000,D4,2024,HVO,11092.291306368,4377.5,875.5,40826.54000831999
6,LNG_S1_2023,2024,S1,D1,877242,LNG_S1_2023,LNG,100000,102000,D4,2024,LNG,41971.14852966,6000.0,3000.0,16978.10858694
7,LNG_S1_2023,2024,S1,D1,877242,LNG_S1_2023,LNG,100000,102000,D4,2024,BioLNG,6375.2658937020005,6000.0,3000.0,18218.51091828
8,LNG_S1_2024,2024,S1,D1,877242,LNG_S1_2024,LNG,103000,102000,D4,2024,LNG,41971.14852966,5150.0,1030.0,16978.10858694
9,LNG_S1_2024,2024,S1,D1,877242,LNG_S1_2024,LNG,103000,102000,D4,2024,BioLNG,6375.2658937020005,5150.0,1030.0,18218.51091828
10,Diesel_S1_2023,2024,S1,D2,2716195,Diesel_S1_2023,Diesel,85000,102000,D4,2024,B20,69347.97596256,5100.0,2550.0,28361.747577599996
11,Diesel_S1_2023,2024,S1,D2,2716195,Diesel_S1_2023,Diesel,85000,102000,D4,2024,HVO,11092.291306368,5100.0,2550.0,40826.54000831999
12,Diesel_S1_2024,2024,S1,D2,2716195,Diesel_S1_2024,Diesel,87550,102000,D4,2024,B20,69347.97596256,4377.5,875.5,28361.747577599996
13,Diesel_S1_2024,2024,S1,D2,2716195,Diesel_S1_2024,Diesel,87550,102000,D4,2024,HVO,11092.291306368,4377.5,875.5,40826.54000831999
14,LNG_S1_2023,2024,S1,D2,2716195,LNG_S1_2023,LNG,100000,102000,D4,2024,LNG,41971.14852966,6000.0,3000.0,16978.10858694
15,LNG_S1_2023,2024,S1,D2,2716195,LNG_S1_2023,LNG,100000,102000,D4,2024,BioLNG,6375.2658937020005,6000.0,3000.0,18218.51091828
16,LNG_S1_2024,2024,S1,D2,2716195,LNG_S1_2024,LNG,103000,102000,D4,2024,LNG,41971.14852966,5150.0,1030.0,16978.10858694
17,LNG_S1_2024,2024,S1,D2,2716195,LNG_S1_2024,LNG,103000,102000,D4,2024,BioLNG,6375.2658937020005,5150.0,1030.0,18218.51091828
18,Diesel_S1_2023,2024,S1,D3,3336604,Diesel_S1_2023,Diesel,85000,102000,D4,2024,B20,69347.97596256,5100.0,2550.0,28361.747577599996
19,Diesel_S1_2023,2024,S1,D3,3336604,Diesel_S1_2023,Diesel,85000,102000,D4,2024,HVO,11092.291306368,5100.0,2550.0,40826.54000831999
20,Diesel_S1_2024,2024,S1,D3,3336604,Diesel_S1_2024,Diesel,87550,102000,D4,2024,B20,69347.97596256,4377.5,875.5,28361.747577599996
21,Diesel_S1_2024,2024,S1,D3,3336604,Diesel_S1_2024,Diesel,87550,102000,D4,2024,HVO,11092.291306368,4377.5,875.5,40826.54000831999
22,LNG_S1_2023,2024,S1,D3,3336604,LNG_S1_2023,LNG,100000,102000,D4,2024,LNG,41971.14852966,6000.0,3000.0,16978.10858694
23,LNG_S1_2023,2024,S1,D3,3336604,LNG_S1_2023,LNG,100000,102000,D4,2024,BioLNG,6375.2658937020005,6000.0,3000.0,18218.51091828
24,LNG_S1_2024,2024,S1,D3,3336604,LNG_S1_2024,LNG,103000,102000,D4,2024,LNG,41971.14852966,5150.0,1030.0,16978.10858694
25,LNG_S1_2024,2024,S1,D3,3336604,LNG_S1_2024,LNG,103000,102000,D4,2024,BioLNG,6375.2658937020005,5150.0,1030.0,18218.51091828
26,Diesel_S1_2023,2024,S1,D4,419981,Diesel_S1_2023,Diesel,85000,102000,D4,2024,B20,69347.97596256,5100.0,2550.0,28361.747577599996
27,Diesel_S1_2023,2024,S1,D4,419981,Diesel_S1_2023,Diesel,85000,102000,D4,2024,HVO,11092.291306368,5100.0,2550.0,40826.54000831999
28,Diesel_S1_2024,2024,S1,D4,419981,Diesel_S1_2024,Diesel,87550,102000,D4,2024,B20,69347.97596256,4377.5,875.5,28361.747577599996
29,Diesel_S1_2024,2024,S1,D4,419981,Diesel_S1_2024,Diesel,87550,102000,D4,2024,HVO,11092.291306368,4377.5,875.5,40826.54000831999
30,LNG_S1_2023,2024,S1,D4,419981,LNG_S1_2023,LNG,100000,102000,D4,2024,LNG,41971.14852966,6000.0,3000.0,16978.10858694
31,LNG_S1_2023,2024,S1,D4,419981,LNG_S1_2023,LNG,100000,102000,D4,2024,BioLNG,6375.2658937020005,6000.0,3000.0,18218.51091828
32,LNG_S1_2024,2024,S1,D4,419981,LNG_S1_2024,LNG,103000,102000,D4,2024,LNG,41971.14852966,5150.0,1030.0,16978.10858694
33,LNG_S1_2024,2024,S1,D4,419981,LNG_S1_2024,LNG,103000,102000,D4,2024,BioLNG,6375.2658937020005,5150.0,1030.0,18218.51091828
34,BEV_S2_2023,2024,S2,D1,1043209,BEV_S2_2023,BEV,272000,106000,D1,2024,Electricity,0.0,16320.0,8160.0,17501.9290704
35,BEV_S2_2024,2024,S2,D1,1043209,BEV_S2_2024,BEV,258400,106000,D1,2024,Electricity,0.0,12920.0,2584.0,17501.9290704
36,Diesel_S2_2023,2024,S2,D1,1043209,Diesel_S2_2023,Diesel,104000,106000,D4,2024,B20,72337.65739696,6240.0,3120.0,29584.459401599994
37,Diesel_S2_2023,2024,S2,D1,1043209,Diesel_S2_2023,Diesel,104000,106000,D4,2024,HVO,11570.494410688,6240.0,3120.0,42586.62524512
38,Diesel_S2_2024,2024,S2,D1,1043209,Diesel_S2_2024,Diesel,107120,106000,D4,2024,B20,72337.65739696,5356.0,1071.2,29584.459401599994
39,Diesel_S2_2024,2024,S2,D1,1043209,Diesel_S2_2024,Diesel,107120,106000,D4,2024,HVO,11570.494410688,5356.0,1071.2,42586.62524512
40,LNG_S2_2023,2024,S2,D1,1043209,LNG_S2_2023,LNG,133000,106000,D4,2024,LNG,43546.448237460005,7980.0,3990.0,17615.34655714
41,LNG_S2_2023,2024,S2,D1,1043209,LNG_S2_2023,LNG,133000,106000,D4,2024,BioLNG,6706.54836679,7980.0,3990.0,19165.212350600003
42,LNG_S2_2024,2024,S2,D1,1043209,LNG_S2_2024,LNG,136990,106000,D4,2024,LNG,43546.448237460005,6849.5,1369.9,17615.34655714
43,LNG_S2_2024,2024,S2,D1,1043209,LNG_S2_2024,LNG,136990,106000,D4,2024,BioLNG,6706.54836679,6849.5,1369.9,19165.212350600003
44,Diesel_S2_2023,2024,S2,D2,1391987,Diesel_S2_2023,Diesel,104000,106000,D4,2024,B20,72337.65739696,6240.0,3120.0,29584.459401599994
45,Diesel_S2_2023,2024,S2,D2,1391987,Diesel_S2_2023,Diesel,104000,106000,D4,2024,HVO,11570.494410688,6240.0,3120.0,42586.62524512
46,Diesel_S2_2024,2024,S2,D2,1391987,Diesel_S2_2024,Diesel,107120,106000,D4,2024,B20,72337.65739696,5356.0,1071.2,29584.459401599994
47,Diesel_S2_2024,2024,S2,D2,1391987,Diesel_S2_2024,Diesel,107120,106000,D4,2024,HVO,11570.494410688,5356.0,1071.2,42586.62524512
48,LNG_S2_2023,2024,S2,D2,1391987,LNG_S2_2023,LNG,133000,106000,D4,2024,LNG,43546.448237460005,7980.0,3990.0,17615.34655714
49,LNG_S2_2023,2024,S2,D2,1391987,LNG_S2_2023,LNG,133000,106000,D4,2024,BioLNG,6706.54836679,7980.0,3990.0,19165.212350600003
50,LNG_S2_2024,2024,S2,D2,1391987,LNG_S2_2024,LNG,136990,106000,D4,2024,LNG,43546.448237460005,6849.5,1369.9,17615.34655714
51,LNG_S2_2024,2024,S2,D2,1391987,LNG_S2_2024,LNG,136990,106000,D4,2024,BioLNG,6706.54836679,6849.5,1369.9,19165.212350600003
52,Diesel_S2_2023,2024,S2,D3,807076,Diesel_S2_2023,Diesel,104000,106000,D4,2024,B20,72337.65739696,6240.0,3120.0,29584.459401599994
53,Diesel_S2_2023,2024,S2,D3,807076,Diesel_S2_2023,Diesel,104000,106000,D4,2024,HVO,11570.494410688,6240.0,3120.0,42586.62524512
54,Diesel_S2_2024,2024,S2,D3,807076,Diesel_S2_2024,Diesel,107120,106000,D4,2024,B20,72337.65739696,5356.0,1071.2,29584.459401599994
55,Diesel_S2_2024,2024,S2,D3,807076,Diesel_S2_2024,Diesel,107120,106000,D4,2024,HVO,11570.494410688,5356.0,1071.2,42586.62524512
56,LNG_S2_2023,2024,S2,D3,807076,LNG_S2_2023,LNG,133000,106000,D4,2024,LNG,43546.448237460005,7980.0,3990.0,17615.34655714
57,LNG_S2_2023,2024,S2,D3,807076,LNG_S2_2023,LNG,133000,106000,D4,2024,BioLNG,6706.54836679,7980.0,3990.0,19165.212350600003
58,LNG_S2_2024,2024,S2,D3,807076,LNG_S2_2024,LNG,136990,106000,D4,2024,LNG,43546.448237460005,6849.5,1369.9,17615.34655714
59,LNG_S2_2024,2024,S2,D3,807076,LNG_S2_2024,LNG,136990,106000,D4,2024,BioLNG,6706.54836679,6849.5,1369.9,19165.212350600003
60,Diesel_S2_2023,2024,S2,D4,133712,Diesel_S2_2023,Diesel,104000,106000,D4,2024,B20,72337.65739696,6240.0,3120.0,29584.459401599994
61,Diesel_S2_2023,2024,S2,D4,133712,Diesel_S2_2023,Diesel,104000,106000,D4,2024,HVO,11570.494410688,6240.0,3120.0,42586.62524512
62,Diesel_S2_2024,2024,S2,D4,133712,Diesel_S2_2024,Diesel,107120,106000,D4,2024,B20,72337.65739696,5356.0,1071.2,29584.459401599994
63,Diesel_S2_2024,2024,S2,D4,133712,Diesel_S2_2024,Diesel,107120,106000,D4,2024,HVO,11570.494410688,5356.0,1071.2,42586.62524512
64,LNG_S2_2023,2024,S2,D4,133712,LNG_S2_2023,LNG,133000,106000,D4,2024,LNG,43546.448237460005,7980.0,3990.0,17615.34655714
65,LNG_S2_2023,2024,S2,D4,133712,LNG_S2_2023,LNG,133000,106000,D4,2024,BioLNG,6706.54836679,7980.0,3990.0,19165.212350600003
66,LNG_S2_2024,2024,S2,D4,133712,LNG_S2_2024,LNG,136990,106000,D4,2024,LNG,43546.448237460005,6849.5,1369.9,17615.34655714
67,LNG_S2_2024,2024,S2,D4,133712,LNG_S2_2024,LNG,136990,106000,D4,2024,BioLNG,6706.54836679,6849.5,1369.9,19165.212350600003
68,BEV_S4_2023,2024,S4,D1,15200,BEV_S4_2023,BEV,395636,118000,D1,2024,Electricity,0.0,23738.16,11869.08,19567.226221776
69,BEV_S4_2024,2024,S4,D1,15200,BEV_S4_2024,BEV,375854,118000,D1,2024,Electricity,0.0,18792.7,3758.54,19567.226221776
70,Diesel_S4_2023,2024,S4,D1,15200,Diesel_S4_2023,Diesel,151272,118000,D4,2024,B20,79078.90308788,9076.32,4538.16,32341.475824799996
71,Diesel_S4_2023,2024,S4,D1,15200,Diesel_S4_2023,Diesel,151272,118000,D4,2024,HVO,12648.764683664,9076.32,4538.16,46555.33136936
72,Diesel_S4_2024,2024,S4,D1,15200,Diesel_S4_2024,Diesel,155810,118000,D4,2024,B20,79078.90308788,7790.5,1558.1000000000001,32341.475824799996
73,Diesel_S4_2024,2024,S4,D1,15200,Diesel_S4_2024,Diesel,155810,118000,D4,2024,HVO,12648.764683664,7790.5,1558.1000000000001,46555.33136936
74,LNG_S4_2023,2024,S4,D1,15200,LNG_S4_2023,LNG,193454,118000,D4,2024,LNG,49073.243635080005,11607.24,5803.62,19851.037875720005
