Size,Distance,2023_Cost,2024_Cost,Cost_Difference,Cost_Change_%,2023_Vehicles,2024_Vehicles,Vehicle_Difference,2023_Fleet_Mix,2024_Fleet_Mix,Demand,2023_Yearly_Range,2024_Yearly_Range,Better_In_2024
S1,D1,954001.51,982621.5,28619.98999999999,2.999994203363472,9,9,0,LNG (9),LNG (9),869181,918000,918000,No
S1,D2,2628805.19,2751341.84,122536.6499999999,4.661305845945926,26,27,1,"Diesel (8), LNG (18)","Diesel (12), LNG (15)",2597094,2652000,2754000,No
S1,D3,3307206.79,3373669.05,66462.25999999978,2.0096191203090683,33,33,0,"Diesel (12), LNG (21)","Diesel (14), LNG (19)",3292011,3366000,3366000,No
S1,D4,530000.84,545900.83,15899.98999999999,2.999993358501091,5,5,0,LNG (5),LNG (5),414315,510000,510000,No
S2,D1,1256102.21,1357109.4,101007.18999999994,8.041319344546011,10,10,0,"Diesel (5), LNG (5)","Diesel (3), LNG (7)",995694,1060000,1060000,No
S2,D2,1789282.98,1906285.5799999998,117002.59999999986,6.539077457719955,14,14,0,"Diesel (6), LNG (8)","Diesel (4), LNG (10)",1383196,1484000,1484000,No
S2,D3,1127841.34,1161676.53,33835.189999999944,2.9999955490193275,8,8,0,LNG (8),LNG (8),778008,848000,848000,No
S2,D4,281960.33,290419.13,8458.799999999988,2.9999964888677737,2,2,0,LNG (2),LNG (2),133677,212000,212000,No
S3,D1,5293964.1,4976055.66,-317908.4399999995,-6.005111368246708,30,31,1,"BEV (5), Diesel (10), LNG (15)","BEV (2), Diesel (12), LNG (17)",2183475,2190000,2263000,Yes
S3,D2,5027760.79,5286537.23,258776.4400000004,5.146952108674216,34,34,0,"Diesel (12), LNG (22)","Diesel (9), LNG (25)",2431901,2482000,2482000,No
S3,D3,1998335.2200000002,2403196.55,404861.3299999996,20.259930663685125,14,15,1,"Diesel (7), LNG (7)","Diesel (2), LNG (13)",1002466,1022000,1095000,No
S3,D4,480612.98,495031.1,14418.119999999995,2.999943946582549,3,3,0,LNG (3),LNG (3),205426,219000,219000,No
S4,D1,205061.41,211213.65,6152.239999999991,3.0001939419025696,1,1,0,LNG (1),LNG (1),14576,118000,118000,No
S4,D2,1435429.86,1478495.54,43065.679999999935,3.000193962803584,7,7,0,LNG (7),LNG (7),754717,826000,826000,No
S4,D3,410122.82,422427.3,12304.479999999981,3.0001939419025696,2,2,0,LNG (2),LNG (2),118899,236000,236000,No
S4,D4,205061.41,211213.65,6152.239999999991,3.0001939419025696,1,1,0,LNG (1),LNG (1),1809,118000,118000,No
