Year,ID,Type,No_Vehicles,Fuel
2023,BEV_S1_2023,Buy,1,Unknown
2023,BEV_S2_2023,Buy,8,Unknown
2023,BEV_S4_2023,Buy,27,Unknown
2023,BEV_S3_2023,Buy,22,Unknown
2023,Diesel_S1_2023,Buy,53,Unknown
2023,Diesel_S2_2023,Buy,12,Unknown
2023,Diesel_S4_2023,Buy,13,Unknown
2023,Diesel_S3_2023,Buy,68,Unknown
2023,LNG_S1_2023,Buy,79,Unknown
2023,LNG_S2_2023,Buy,6,Unknown
2023,LNG_S4_2023,Buy,4,Unknown
2023,LNG_S3_2023,Buy,24,Unknown
2024,BEV_S1_2024,Buy,39,Unknown
2024,BEV_S2_2024,Buy,48,Unknown
2024,BEV_S4_2024,Buy,28,Unknown
2024,BEV_S3_2024,Buy,27,Unknown
2024,Diesel_S1_2024,Buy,42,Unknown
2024,Diesel_S2_2024,Buy,28,Unknown
2024,Diesel_S4_2024,Buy,76,Unknown
2024,Diesel_S3_2024,Buy,14,Unknown
2024,LNG_S1_2024,Buy,4,Unknown
2024,LNG_S2_2024,Buy,25,Unknown
2024,LNG_S4_2024,Buy,56,Unknown
2024,LNG_S3_2024,Buy,46,Unknown
2025,BEV_S1_2025,Buy,20,Unknown
2025,BEV_S2_2025,Buy,24,Unknown
2025,BEV_S3_2025,Buy,42,Unknown
2025,Diesel_S1_2025,Buy,30,Unknown
2025,Diesel_S4_2025,Buy,20,Unknown
2025,Diesel_S3_2025,Buy,15,Unknown
2025,LNG_S1_2025,Buy,4,Unknown
2025,LNG_S2_2025,Buy,9,Unknown
2025,LNG_S4_2025,Buy,28,Unknown
2025,LNG_S3_2025,Buy,49,Unknown
2026,BEV_S1_2026,Buy,42,Unknown
2026,BEV_S2_2026,Buy,99,Unknown
2026,BEV_S4_2026,Buy,67,Unknown
2026,BEV_S3_2026,Buy,50,Unknown
2026,Diesel_S1_2026,Buy,53,Unknown
2026,Diesel_S2_2026,Buy,27,Unknown
2026,Diesel_S4_2026,Buy,4,Unknown
2026,Diesel_S3_2026,Buy,27,Unknown
2026,LNG_S1_2026,Buy,6,Unknown
2026,LNG_S2_2026,Buy,3,Unknown
2026,LNG_S4_2026,Buy,10,Unknown
2026,LNG_S3_2026,Buy,23,Unknown
2027,BEV_S1_2027,Buy,9,Unknown
2027,BEV_S2_2027,Buy,16,Unknown
2027,BEV_S4_2027,Buy,33,Unknown
2027,BEV_S3_2027,Buy,59,Unknown
2027,Diesel_S1_2027,Buy,6,Unknown
2027,Diesel_S2_2027,Buy,12,Unknown
2027,Diesel_S4_2027,Buy,22,Unknown
2027,Diesel_S3_2027,Buy,5,Unknown
2027,LNG_S1_2027,Buy,37,Unknown
2027,LNG_S2_2027,Buy,3,Unknown
2027,LNG_S4_2027,Buy,7,Unknown
2027,LNG_S3_2027,Buy,12,Unknown
2028,BEV_S1_2028,Buy,65,Unknown
2028,BEV_S2_2028,Buy,97,Unknown
2028,BEV_S4_2028,Buy,19,Unknown
2028,BEV_S3_2028,Buy,27,Unknown
2028,Diesel_S1_2028,Buy,46,Unknown
2028,Diesel_S2_2028,Buy,14,Unknown
2028,Diesel_S4_2028,Buy,27,Unknown
2028,Diesel_S3_2028,Buy,3,Unknown
2028,LNG_S1_2028,Buy,41,Unknown
2028,LNG_S2_2028,Buy,17,Unknown
2028,LNG_S3_2028,Buy,39,Unknown
2029,BEV_S1_2029,Buy,24,Unknown
2029,BEV_S2_2029,Buy,58,Unknown
2029,BEV_S4_2029,Buy,23,Unknown
2029,BEV_S3_2029,Buy,25,Unknown
2029,Diesel_S1_2029,Buy,13,Unknown
2029,Diesel_S2_2029,Buy,16,Unknown
2029,Diesel_S4_2029,Buy,11,Unknown
2029,Diesel_S3_2029,Buy,23,Unknown
2029,LNG_S1_2029,Buy,55,Unknown
2029,LNG_S2_2029,Buy,5,Unknown
2029,LNG_S4_2029,Buy,69,Unknown
2029,LNG_S3_2029,Buy,69,Unknown
2030,BEV_S1_2030,Buy,48,Unknown
2030,BEV_S2_2030,Buy,72,Unknown
2030,BEV_S4_2030,Buy,28,Unknown
2030,BEV_S3_2030,Buy,11,Unknown
2030,Diesel_S1_2030,Buy,29,Unknown
2030,Diesel_S2_2030,Buy,8,Unknown
2030,Diesel_S4_2030,Buy,2,Unknown
2030,Diesel_S3_2030,Buy,44,Unknown
2030,LNG_S1_2030,Buy,40,Unknown
2030,LNG_S2_2030,Buy,7,Unknown
2030,LNG_S4_2030,Buy,19,Unknown
2030,LNG_S3_2030,Buy,29,Unknown
2031,BEV_S1_2031,Buy,43,Unknown
2031,BEV_S2_2031,Buy,90,Unknown
2031,BEV_S4_2031,Buy,8,Unknown
2031,BEV_S3_2031,Buy,35,Unknown
2031,Diesel_S1_2031,Buy,51,Unknown
2031,Diesel_S2_2031,Buy,37,Unknown
2031,Diesel_S4_2031,Buy,45,Unknown
2031,Diesel_S3_2031,Buy,23,Unknown
2031,LNG_S1_2031,Buy,28,Unknown
2031,LNG_S2_2031,Buy,10,Unknown
2031,LNG_S4_2031,Buy,3,Unknown
2031,LNG_S3_2031,Buy,28,Unknown
2032,BEV_S1_2032,Buy,24,Unknown
2032,BEV_S2_2032,Buy,15,Unknown
2032,BEV_S4_2032,Buy,67,Unknown
2032,BEV_S3_2032,Buy,27,Unknown
2032,Diesel_S1_2032,Buy,37,Unknown
2032,Diesel_S2_2032,Buy,79,Unknown
2032,Diesel_S4_2032,Buy,3,Unknown
2032,Diesel_S3_2032,Buy,20,Unknown
2032,LNG_S1_2032,Buy,47,Unknown
2032,LNG_S2_2032,Buy,5,Unknown
2032,LNG_S4_2032,Buy,37,Unknown
2032,LNG_S3_2032,Buy,19,Unknown
2033,BEV_S1_2033,Buy,86,Unknown
2033,BEV_S2_2033,Buy,3,Unknown
2033,BEV_S4_2033,Buy,13,Unknown
2033,BEV_S3_2033,Buy,22,Unknown
2033,Diesel_S1_2033,Buy,14,Unknown
2033,Diesel_S2_2033,Buy,36,Unknown
2033,Diesel_S4_2033,Buy,25,Unknown
2033,Diesel_S3_2033,Buy,3,Unknown
2033,LNG_S1_2033,Buy,46,Unknown
2033,LNG_S2_2033,Buy,18,Unknown
2033,LNG_S4_2033,Buy,11,Unknown
2033,LNG_S3_2033,Buy,82,Unknown
2034,BEV_S1_2034,Buy,50,Unknown
2034,BEV_S2_2034,Buy,1,Unknown
2034,BEV_S4_2034,Buy,18,Unknown
2034,BEV_S3_2034,Buy,43,Unknown
2034,Diesel_S1_2034,Buy,23,Unknown
2034,Diesel_S2_2034,Buy,45,Unknown
2034,Diesel_S4_2034,Buy,50,Unknown
2034,Diesel_S3_2034,Buy,3,Unknown
2034,LNG_S1_2034,Buy,14,Unknown
2034,LNG_S2_2034,Buy,10,Unknown
2034,LNG_S4_2034,Buy,9,Unknown
2034,LNG_S3_2034,Buy,93,Unknown
2035,BEV_S1_2035,Buy,85,Unknown
2035,BEV_S2_2035,Buy,93,Unknown
