Year,ID,Num_Vehicles,Type,Fuel,Distance,Distance_per_vehicle(km)
2023,Diesel_S1_2023,83,Buy,,D4,102000
2023,Diesel_S1_2023,83,Use,,D4,102000
2023,Diesel_S2_2023,37,Buy,,D4,106000
2023,Diesel_S2_2023,37,Use,,D4,106000
2023,Diesel_S4_2023,12,Buy,,D4,118000
2023,Diesel_S4_2023,12,Use,,D4,118000
2023,Diesel_S3_2023,91,Buy,,D4,73000
2023,Diesel_S3_2023,91,Use,,D4,73000
2024,Diesel_S1_2023,83,Use,,D4,102000
2024,Diesel_S2_2023,37,Use,,D4,106000
2024,Diesel_S4_2023,12,Use,,D4,118000
2024,Diesel_S3_2023,91,Use,,D4,73000
2025,Diesel_S1_2023,83,Use,,D4,102000
2025,Diesel_S2_2023,37,Use,,D4,106000
2025,Diesel_S4_2023,12,Use,,D4,118000
2025,Diesel_S3_2023,91,Use,,D4,73000
2026,Diesel_S1_2023,83,Use,,D4,102000
2026,Diesel_S2_2023,37,Use,,D4,106000
2026,Diesel_S4_2023,12,Use,,D4,118000
2026,Diesel_S3_2023,91,Use,,D4,73000
2027,Diesel_S1_2023,83,Use,,D4,102000
2027,Diesel_S2_2023,37,Use,,D4,106000
2027,Diesel_S4_2023,12,Use,,D4,118000
2027,Diesel_S3_2023,91,Use,,D4,73000
2028,Diesel_S1_2023,83,Use,,D4,102000
2028,Diesel_S2_2023,37,Use,,D4,106000
2028,Diesel_S4_2023,12,Use,,D4,118000
2028,Diesel_S3_2023,91,Use,,D4,73000
2029,Diesel_S1_2023,83,Use,,D4,102000
2029,Diesel_S1_2029,107,Buy,,D4,102000
2029,Diesel_S1_2029,107,Use,,D4,102000
2029,Diesel_S2_2023,37,Use,,D4,106000
2029,Diesel_S2_2029,49,Buy,,D4,106000
2029,Diesel_S2_2029,49,Use,,D4,106000
2029,Diesel_S4_2023,12,Use,,D4,118000
2029,Diesel_S4_2029,14,Buy,,D4,118000
2029,Diesel_S4_2029,14,Use,,D4,118000
2029,Diesel_S3_2023,91,Use,,D4,73000
2029,Diesel_S3_2029,115,Buy,,D4,73000
2029,Diesel_S3_2029,115,Use,,D4,73000
2030,Diesel_S1_2023,83,Use,,D4,102000
2030,Diesel_S1_2029,107,Use,,D4,102000
2030,Diesel_S2_2023,37,Use,,D4,106000
2030,Diesel_S2_2029,49,Use,,D4,106000
2030,Diesel_S4_2023,12,Use,,D4,118000
2030,Diesel_S4_2029,14,Use,,D4,118000
2030,Diesel_S3_2023,91,Use,,D4,73000
2030,Diesel_S3_2029,115,Use,,D4,73000
2031,Diesel_S1_2023,83,Use,,D4,102000
2031,Diesel_S1_2029,107,Use,,D4,102000
2031,Diesel_S2_2023,37,Use,,D4,106000
2031,Diesel_S2_2029,49,Use,,D4,106000
2031,Diesel_S4_2023,12,Use,,D4,118000
2031,Diesel_S4_2029,14,Use,,D4,118000
2031,Diesel_S3_2023,91,Use,,D4,73000
2031,Diesel_S3_2029,115,Use,,D4,73000
2032,Diesel_S1_2023,83,Use,,D4,102000
2032,Diesel_S1_2029,107,Use,,D4,102000
2032,Diesel_S2_2023,37,Use,,D4,106000
2032,Diesel_S2_2029,49,Use,,D4,106000
2032,Diesel_S4_2023,12,Use,,D4,118000
2032,Diesel_S4_2029,14,Use,,D4,118000
2032,Diesel_S3_2023,91,Use,,D4,73000
2032,Diesel_S3_2029,115,Use,,D4,73000
2033,Diesel_S1_2029,107,Use,,D4,102000
2033,Diesel_S2_2029,49,Use,,D4,106000
2033,Diesel_S4_2029,14,Use,,D4,118000
2033,Diesel_S3_2029,115,Use,,D4,73000
2034,Diesel_S1_2029,107,Use,,D4,102000
2034,Diesel_S2_2029,49,Use,,D4,106000
2034,Diesel_S4_2029,14,Use,,D4,118000
2034,Diesel_S3_2029,115,Use,,D4,73000
2035,Diesel_S1_2029,107,Use,,D4,102000
2035,Diesel_S2_2029,49,Use,,D4,106000
2035,Diesel_S4_2029,14,Use,,D4,118000
2035,Diesel_S3_2029,115,Use,,D4,73000
2036,Diesel_S1_2029,107,Use,,D4,102000
2036,Diesel_S2_2029,49,Use,,D4,106000
2036,Diesel_S4_2029,14,Use,,D4,118000
2036,Diesel_S3_2029,115,Use,,D4,73000
2037,Diesel_S1_2029,107,Use,,D4,102000
2037,Diesel_S2_2029,49,Use,,D4,106000
2037,Diesel_S4_2029,14,Use,,D4,118000
2037,Diesel_S3_2029,115,Use,,D4,73000
2038,BEV_S4_2023,57,Sell,,D1,118000
2038,Diesel_S1_2029,107,Use,,D4,102000
2038,Diesel_S2_2029,49,Use,,D4,106000
2038,Diesel_S4_2029,14,Use,,D4,118000
2038,Diesel_S3_2029,115,Use,,D4,73000
