Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1881794.83,LNG,12,12,1143702,102000,93.44,1.0
"Size S1, Distance D2",BEV,1692265.49,Electricity,12,38,3821393,102000,312.21,0.32
"Size S1, Distance D2",Diesel,1229481.15,B20,8,38,3821393,102000,468.31,0.21
"Size S1, Distance D2",LNG,2832749.69,LNG,18,38,3821393,102000,208.14,0.47
"Size S1, Distance D3",BEV,1834148.96,Electricity,13,46,4599217,102000,346.85,0.28
"Size S1, Distance D3",Diesel,1724950.13,B20,12,46,4599217,102000,375.75,0.26
"Size S1, Distance D3",LNG,3300715.63,LNG,21,46,4599217,102000,214.72,0.46
"Size S1, Distance D4",LNG,948552.08,LNG,6,6,602557,102000,98.46,1.0
"Size S2, Distance D1",Diesel,573234.02,B20,2,14,1388729,106000,655.06,0.14
"Size S2, Distance D1",LNG,2501292.51,LNG,12,14,1388729,106000,109.18,0.86
"Size S2, Distance D2",Diesel,1384143.5,B20,8,19,1982301,106000,233.76,0.42
"Size S2, Distance D2",LNG,2303675.25,LNG,11,19,1982301,106000,170.01,0.58
"Size S2, Distance D3",LNG,2292005.6,LNG,11,11,1103197,106000,94.61,1.0
"Size S2, Distance D4",LNG,427217.63,LNG,2,2,180140,106000,84.97,1.0
"Size S3, Distance D1",BEV,2543084.41,Electricity,11,41,2983351,73000,371.53,0.27
"Size S3, Distance D1",Diesel,1946949.81,B20,10,41,2983351,73000,408.68,0.24
"Size S3, Distance D1",LNG,4726824.16,LNG,20,41,2983351,73000,204.34,0.49
"Size S3, Distance D2",BEV,2319689.84,Electricity,10,45,3269872,73000,447.93,0.22
"Size S3, Distance D2",Diesel,2130529.75,B20,11,45,3269872,73000,407.21,0.24
"Size S3, Distance D2",LNG,5666018.76,LNG,24,45,3269872,73000,186.64,0.53
"Size S3, Distance D3",LNG,4480493.97,LNG,19,19,1377326,73000,99.3,1.0
"Size S3, Distance D4",LNG,951194.28,LNG,4,4,280914,73000,96.2,1.0
"Size S4, Distance D1",LNG,304428.38,LNG,1,1,22740,118000,19.27,1.0
"Size S4, Distance D2",LNG,3027800.14,LNG,10,10,1134238,118000,96.12,1.0
"Size S4, Distance D3",LNG,613204.86,LNG,2,2,151090,118000,64.02,1.0
"Size S4, Distance D4",LNG,301488.47,LNG,1,1,2412,118000,2.04,1.0
