Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km
BEV_S1_2023,2023,S1,D1,869181,BEV_S1_2023,BEV,2023,187000,102000,D1,Electricity,0.0,9350.0,1870.0,0.171277610013
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338
LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338
BEV_S2_2023,2023,S2,D1,995694,BEV_S2_2023,BEV,2023,272000,106000,D1,Electricity,0.0,13600.0,2720.0,0.1719981688
LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.063269324215,6650.0,1330.0,0.1818671867
LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.063269324215,6650.0,1330.0,0.1818671867
LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.063269324215,6650.0,1330.0,0.1818671867
BEV_S3_2023,2023,S3,D1,2183475,BEV_S3_2023,BEV,2023,309090,73000,D1,Electricity,0.0,15454.5,3090.9,0.1722288933729999
LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.062322848276,7556.8,1511.36,0.17914654888
LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.062322848276,7556.8,1511.36,0.17914654888
LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.062322848276,7556.8,1511.36,0.17914654888
BEV_S4_2023,2023,S4,D1,14576,BEV_S4_2023,BEV,2023,395636,118000,D1,Electricity,0.0,19781.800000000003,3956.36,0.172739249224
LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.062854176632,9672.7,1934.54,0.18067384816
LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.062854176632,9672.7,1934.54,0.18067384816
LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.062854176632,9672.7,1934.54,0.18067384816
BEV_S1_2024,2024,S1,D1,877242,BEV_S1_2024,BEV,2024,177650,102000,D1,Electricity,0.0,8882.5,1776.5,0.164420825859
LNG_S1_2024,2024,S1,D2,2716195,LNG_S1_2024,LNG,2024,103000,102000,D4,BioLNG,0.062502606801,5150.0,1030.0,0.17861285214
LNG_S1_2024,2024,S1,D3,3336604,LNG_S1_2024,LNG,2024,103000,102000,D4,BioLNG,0.062502606801,5150.0,1030.0,0.17861285214
LNG_S1_2024,2024,S1,D4,419981,LNG_S1_2024,LNG,2024,103000,102000,D4,BioLNG,0.062502606801,5150.0,1030.0,0.17861285214
