Allocation,Vehicle,Carbon Emissions,Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range
"Size S1, Distance D1",BEV,0.0,Electricity,9,9,869181,102000
"Size S1, Distance D2",LNG,1068657.04,LNG,21,26,2597094,102000
"Size S1, Distance D2",LNG,162325.15,BioLNG,21,26,2597094,102000
"Size S1, Distance D3",LNG,1354602.77,LNG,19,33,3292011,102000
"Size S1, Distance D3",LNG,205759.27,BioLNG,19,33,3292011,102000
"Size S1, Distance D4",LNG,170483.1,LNG,3,5,414315,102000
"Size S1, Distance D4",LNG,25895.77,BioLNG,3,5,414315,102000
"Size S2, Distance D1",BEV,0.0,Electricity,10,10,995694,106000
"Size S2, Distance D2",LNG,568238.42,LNG,9,14,1383196,106000
"Size S2, Distance D2",LNG,87513.88,BioLNG,9,14,1383196,106000
"Size S2, Distance D3",LNG,319617.78,LNG,6,8,778008,106000
"Size S2, Distance D3",LNG,49224.04,BioLNG,6,8,778008,106000
"Size S2, Distance D4",LNG,54916.59,LNG,2,2,133677,106000
"Size S2, Distance D4",LNG,8457.65,BioLNG,2,2,133677,106000
"Size S3, Distance D1",BEV,0.0,Electricity,30,30,2183475,73000
"Size S3, Distance D2",LNG,996547.54,LNG,23,34,2431901,73000
"Size S3, Distance D2",LNG,151563.0,BioLNG,23,34,2431901,73000
"Size S3, Distance D3",LNG,410791.82,LNG,8,14,1002466,73000
"Size S3, Distance D3",LNG,62476.54,BioLNG,8,14,1002466,73000
"Size S3, Distance D4",LNG,84179.73,LNG,2,3,205426,73000
"Size S3, Distance D4",LNG,12802.73,BioLNG,2,3,205426,73000
"Size S4, Distance D1",BEV,0.0,Electricity,1,1,14576,118000
"Size S4, Distance D2",LNG,313867.89,LNG,5,7,754717,118000
"Size S4, Distance D2",LNG,47437.12,BioLNG,5,7,754717,118000
"Size S4, Distance D3",LNG,49447.12,LNG,1,2,118899,118000
"Size S4, Distance D3",LNG,7473.3,BioLNG,1,2,118899,118000
"Size S4, Distance D4",LNG,752.32,LNG,1,1,1809,118000
"Size S4, Distance D4",LNG,113.7,BioLNG,1,1,1809,118000
