Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly range (km)
"Size S1, Distance D1",LNG,954001.51,LNG,9,9,869181,102000
"Size S1, Distance D2",Diesel,810902.45,B20,9,26,2597094,102000
"Size S1, Distance D2",LNG,1802002.85,LNG,17,26,2597094,102000
"Size S1, Distance D3",Diesel,810902.45,B20,9,33,3292011,102000
"Size S1, Distance D3",LNG,2544004.02,LNG,24,33,3292011,102000
"Size S1, Distance D4",LNG,530000.84,LNG,5,5,414315,102000
"Size S2, Distance D1",LNG,1409801.67,LNG,10,10,995694,106000
"Size S2, Distance D2",Diesel,330720.82,B20,3,14,1383196,106000
"Size S2, Distance D2",LNG,1550781.84,LNG,11,14,1383196,106000
"Size S2, Distance D3",LNG,1127841.34,LNG,8,8,778008,106000
"Size S2, Distance D4",LNG,281960.33,LNG,2,2,133677,106000
"Size S3, Distance D1",Diesel,1127449.2,B20,9,30,2183475,73000
"Size S3, Distance D1",LNG,3364290.86,LNG,21,30,2183475,73000
"Size S3, Distance D2",Diesel,2004354.14,B20,16,34,2431901,73000
"Size S3, Distance D2",LNG,2883677.88,LNG,18,34,2431901,73000
"Size S3, Distance D3",Diesel,125272.13,B20,1,14,1002466,73000
"Size S3, Distance D3",LNG,2082656.25,LNG,13,14,1002466,73000
"Size S3, Distance D4",LNG,480612.98,LNG,3,3,205426,73000
"Size S4, Distance D1",LNG,205061.41,LNG,1,1,14576,118000
"Size S4, Distance D2",LNG,1435429.86,LNG,7,7,754717,118000
"Size S4, Distance D3",LNG,410122.82,LNG,2,2,118899,118000
"Size S4, Distance D4",LNG,205061.41,LNG,1,1,1809,118000
