Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Previous_Year_Vehicles,Vehicle_Change,Max Vehicles,Demand,Yearly Range
"Size S1, Distance D1",LNG,982621.5,LNG,9,0,9,9,877242,102000
"Size S1, Distance D2",Diesel,1113639.34,B20,12,0,12,27,2716195,102000
"Size S1, Distance D2",LNG,1637702.5,LNG,15,0,15,27,2716195,102000
"Size S1, Distance D3",Diesel,1299245.89,B20,14,0,14,33,3336604,102000
"Size S1, Distance D3",LNG,2074423.16,LNG,19,0,19,33,3336604,102000
"Size S1, Distance D4",LNG,545900.83,LNG,5,0,5,5,419981,102000
"Size S2, Distance D1",Diesel,340642.44,B20,3,0,3,10,1043209,106000
"Size S2, Distance D1",LNG,1016466.96,LNG,7,0,7,10,1043209,106000
"Size S2, Distance D2",Diesel,454189.92,B20,4,0,4,14,1391987,106000
"Size S2, Distance D2",LNG,1452095.66,LNG,10,0,10,14,1391987,106000
"Size S2, Distance D3",LNG,1161676.53,LNG,8,0,8,8,807076,106000
"Size S2, Distance D4",LNG,290419.13,LNG,2,0,2,2,133712,106000
"Size S3, Distance D1",BEV,622508.65,Electricity,2,0,2,31,2239440,73000
"Size S3, Distance D1",Diesel,1548370.79,B20,12,0,12,31,2239440,73000
"Size S3, Distance D1",LNG,2805176.22,LNG,17,0,17,31,2239440,73000
"Size S3, Distance D2",Diesel,1161278.09,B20,9,0,9,34,2453497,73000
"Size S3, Distance D2",LNG,4125259.14,LNG,25,0,25,34,2453497,73000
"Size S3, Distance D3",Diesel,258061.8,B20,2,0,2,15,1029375,73000
"Size S3, Distance D3",LNG,2145134.75,LNG,13,0,13,15,1029375,73000
"Size S3, Distance D4",LNG,495031.1,LNG,3,0,3,3,208440,73000
"Size S4, Distance D1",LNG,211213.65,LNG,1,0,1,1,15200,118000
"Size S4, Distance D2",LNG,1478495.54,LNG,7,0,7,7,780979,118000
"Size S4, Distance D3",LNG,422427.3,LNG,2,0,2,2,122186,118000
"Size S4, Distance D4",LNG,211213.65,LNG,1,0,1,1,1893,118000
