Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Topsis_Score,Rank,Distance,Num_Vehicles,Type
2023,S1,,869181,LNG_S1_2023,,,,,,BioLNG,,,,,,,D1,8.0,Buy
2023,S1,,2597094,Diesel_S1_2023,,,,,,HVO,,,,,,,D2,25.0,Buy
2023,S1,,3292011,Diesel_S1_2023,,,,,,HVO,,,,,,,D3,32.0,Buy
2023,S1,,414315,Diesel_S1_2023,,,,,,HVO,,,,,,,D4,4.0,Buy
2023,S2,,995694,LNG_S2_2023,,,,,,BioLNG,,,,,,,D1,9.0,Buy
2023,S2,,1383196,Diesel_S2_2023,,,,,,HVO,,,,,,,D2,13.0,Buy
2023,S2,,778008,Diesel_S2_2023,,,,,,HVO,,,,,,,D3,7.0,Buy
2023,S2,,133677,Diesel_S2_2023,,,,,,HVO,,,,,,,D4,1.0,Buy
2023,S3,,2183475,LNG_S3_2023,,,,,,BioLNG,,,,,,,D1,29.0,Buy
2023,S3,,2431901,Diesel_S3_2023,,,,,,HVO,,,,,,,D2,33.0,Buy
2023,S3,,1002466,Diesel_S3_2023,,,,,,HVO,,,,,,,D3,13.0,Buy
2023,S3,,205426,Diesel_S3_2023,,,,,,HVO,,,,,,,D4,2.0,Buy
2023,S4,,14576,LNG_S4_2023,,,,,,BioLNG,,,,,,,D1,0.0,Buy
2023,S4,,754717,Diesel_S4_2023,,,,,,HVO,,,,,,,D2,6.0,Buy
2023,S4,,118899,Diesel_S4_2023,,,,,,HVO,,,,,,,D3,1.0,Buy
2023,S4,,1809,Diesel_S4_2023,,,,,,HVO,,,,,,,D4,0.0,Buy
2023,S1,,869181,LNG_S1_2023,,,,,,BioLNG,,,,,,,D1,8.0,Buy
2023,S1,,2597094,Diesel_S1_2023,,,,,,HVO,,,,,,,D2,25.0,Buy
2023,S1,,3292011,Diesel_S1_2023,,,,,,HVO,,,,,,,D3,32.0,Buy
2023,S1,,414315,Diesel_S1_2023,,,,,,HVO,,,,,,,D4,4.0,Buy
2023,S2,,995694,LNG_S2_2023,,,,,,BioLNG,,,,,,,D1,9.0,Buy
2023,S2,,1383196,Diesel_S2_2023,,,,,,HVO,,,,,,,D2,13.0,Buy
2023,S2,,778008,Diesel_S2_2023,,,,,,HVO,,,,,,,D3,7.0,Buy
2023,S2,,133677,Diesel_S2_2023,,,,,,HVO,,,,,,,D4,1.0,Buy
2023,S3,,2183475,LNG_S3_2023,,,,,,BioLNG,,,,,,,D1,29.0,Buy
2023,S3,,2431901,Diesel_S3_2023,,,,,,HVO,,,,,,,D2,33.0,Buy
2023,S3,,1002466,Diesel_S3_2023,,,,,,HVO,,,,,,,D3,13.0,Buy
2023,S3,,205426,Diesel_S3_2023,,,,,,HVO,,,,,,,D4,2.0,Buy
2023,S4,,14576,LNG_S4_2023,,,,,,BioLNG,,,,,,,D1,0.0,Buy
2023,S4,,754717,Diesel_S4_2023,,,,,,HVO,,,,,,,D2,6.0,Buy
2023,S4,,118899,Diesel_S4_2023,,,,,,HVO,,,,,,,D3,1.0,Buy
2023,S4,,1809,Diesel_S4_2023,,,,,,HVO,,,,,,,D4,0.0,Buy
2024,S1,,877242,LNG_S1_2024,,,,,,BioLNG,,,,,,,D1,8.0,Use
2024,S1,,2716195,Diesel_S1_2024,,,,,,HVO,,,,,,,D2,26.0,Use
2024,S1,,3336604,Diesel_S1_2024,,,,,,HVO,,,,,,,D3,32.0,Use
2024,S1,,419981,Diesel_S1_2024,,,,,,HVO,,,,,,,D4,4.0,Use
2024,S2,,1043209,LNG_S2_2024,,,,,,BioLNG,,,,,,,D1,9.0,Use
2024,S2,,1391987,Diesel_S2_2024,,,,,,HVO,,,,,,,D2,13.0,Use
2024,S2,,807076,Diesel_S2_2024,,,,,,HVO,,,,,,,D3,7.0,Use
2024,S2,,133712,Diesel_S2_2024,,,,,,HVO,,,,,,,D4,1.0,Use
2024,S3,,2239440,LNG_S3_2024,,,,,,BioLNG,,,,,,,D1,30.0,Use
2024,S3,,2453497,Diesel_S3_2024,,,,,,HVO,,,,,,,D2,33.0,Use
2024,S3,,1029375,Diesel_S3_2024,,,,,,HVO,,,,,,,D3,14.0,Use
2024,S3,,208440,Diesel_S3_2024,,,,,,HVO,,,,,,,D4,2.0,Use
2024,S4,,15200,LNG_S4_2024,,,,,,BioLNG,,,,,,,D1,0.0,Use
2024,S4,,780979,Diesel_S4_2024,,,,,,HVO,,,,,,,D2,6.0,Use
2024,S4,,122186,Diesel_S4_2024,,,,,,HVO,,,,,,,D3,1.0,Use
2024,S4,,1893,Diesel_S4_2024,,,,,,HVO,,,,,,,D4,0.0,Use
2025,S1,,877707,LNG_S1_2025,,,,,,BioLNG,,,,,,,D1,8.0,Use
2025,S1,,2836223,Diesel_S1_2025,,,,,,HVO,,,,,,,D2,27.0,Use
2025,S1,,3446113,Diesel_S1_2025,,,,,,HVO,,,,,,,D3,33.0,Use
2025,S1,,439767,Diesel_S1_2025,,,,,,HVO,,,,,,,D4,4.0,Use
2025,S2,,1082065,LNG_S2_2025,,,,,,BioLNG,,,,,,,D1,10.0,Use
2025,S2,,1410584,Diesel_S2_2025,,,,,,HVO,,,,,,,D2,13.0,Use
2025,S2,,821678,Diesel_S2_2025,,,,,,HVO,,,,,,,D3,7.0,Use
2025,S2,,137231,Diesel_S2_2025,,,,,,HVO,,,,,,,D4,1.0,Use
2025,S3,,2255136,LNG_S3_2025,,,,,,BioLNG,,,,,,,D1,30.0,Use
2025,S3,,2501227,Diesel_S3_2025,,,,,,HVO,,,,,,,D2,34.0,Use
