Operating Year,ID,Num_Vehicles,Type,Fuel,Distance_bucket,Distance_per_vehicle(km)
2025,BEV_S1_2023,37,Use,Electricity,D1,63844
2025,BEV_S2_2023,29,Use,Electricity,D1,27227
2025,BEV_S3_2023,47,Use,Electricity,D1,35742
2025,BEV_S4_2023,24,Sell,Electricity,D1,32987
2025,Diesel_S1_2023,24,Use,B20,D4,9450
2025,Diesel_S2_2023,36,Sell,HVO,D4,9573
2025,Diesel_S3_2023,12,Use,HVO,D4,4065
2025,Diesel_S4_2023,31,Sell,B20,D4,34046
2025,LNG_S1_2023,13,Sell,LNG,D4,21960
2025,LNG_S2_2023,32,Use,BioLNG,D4,19080
2025,LNG_S3_2023,14,Use,BioLNG,D4,13759
2025,LNG_S4_2023,39,Use,LNG,D4,37018
2025,BEV_S1_2024,32,Sell,Electricity,D1,34470
2025,BEV_S2_2024,10,Use,Electricity,D1,22107
2025,BEV_S3_2024,37,Sell,Electricity,D1,44453
2025,BEV_S4_2024,13,Sell,Electricity,D1,56262
2025,Diesel_S1_2024,32,Sell,B20,D4,9518
2025,Diesel_S2_2024,26,Use,HVO,D4,70364
2025,Diesel_S3_2024,10,Use,HVO,D4,21768
2025,Diesel_S4_2024,33,Sell,B20,D4,13093
2025,LNG_S1_2024,40,Use,LNG,D4,41218
2025,LNG_S2_2024,39,Sell,BioLNG,D4,58794
2025,LNG_S3_2024,45,Sell,BioLNG,D4,48748
2025,LNG_S4_2024,13,Use,LNG,D4,13167
2025,BEV_S1_2025,44,Buy,Electricity,D1,65852
2025,BEV_S2_2025,42,Buy,Electricity,D1,31464
2025,BEV_S3_2025,33,Buy,Electricity,D1,41470
2025,BEV_S4_2025,30,Buy,Electricity,D1,3157
2025,Diesel_S1_2025,15,Buy,B20,D4,66
2025,Diesel_S2_2025,13,Buy,HVO,D4,42453
2025,Diesel_S3_2025,21,Buy,HVO,D4,55559
2025,Diesel_S4_2025,40,Buy,B20,D4,14099
2025,LNG_S1_2025,11,Buy,LNG,D4,34079
2025,LNG_S2_2025,26,Buy,BioLNG,D4,72931
2025,LNG_S3_2025,19,Buy,BioLNG,D4,44844
2025,LNG_S4_2025,19,Buy,LNG,D4,65581
