"fuel","year","emissions_co2_per_unit_fuel","cost_per_unit_fuel","cost_uncertainty_percent"
B20,2023,3.04858,1.22084,0.0
B20,2024,3.04858,1.2468,2.0
B20,2025,3.04858,1.27331,4.0
B20,2026,3.04858,1.30038,6.0
B20,2027,3.04858,1.32803,8.0
B20,2028,3.04858,1.35626,10.0
B20,2029,3.04858,1.3851,12.0
B20,2030,3.04858,1.41455,14.0
B20,2031,3.04858,1.44463,16.0
B20,2032,3.04858,1.47534,18.0
B20,2033,3.04858,1.50671,20.0
B20,2034,3.04858,1.53874,22.0
B20,2035,3.04858,1.57146,24.0
B20,2036,3.04858,1.60487,26.0
B20,2037,3.04858,1.63899,28.0
B20,2038,3.04858,1.67383,30.0
BioLNG,2023,0.378439,1.08782,0.0
BioLNG,2024,0.378439,1.08146,2.0
BioLNG,2025,0.378439,1.07514,4.0
BioLNG,2026,0.378439,1.06886,6.0
BioLNG,2027,0.378439,1.06262,8.0
BioLNG,2028,0.378439,1.05641,10.0
BioLNG,2029,0.378439,1.05024,12.0
BioLNG,2030,0.378439,1.0441,14.0
BioLNG,2031,0.378439,1.038,16.0
BioLNG,2032,0.378439,1.03194,18.0
BioLNG,2033,0.378439,1.02591,20.0
BioLNG,2034,0.378439,1.01991,22.0
BioLNG,2035,0.378439,1.01395,24.0
BioLNG,2036,0.378439,1.00803,26.0
BioLNG,2037,0.378439,1.00214,28.0
BioLNG,2038,0.378439,0.996286,30.0
Electricity,2023,0.0,0.191791,0.0
Electricity,2024,0.0,0.184113,2.0
Electricity,2025,0.0,0.176742,4.0
Electricity,2026,0.0,0.169666,6.0
Electricity,2027,0.0,0.162873,8.0
Electricity,2028,0.0,0.156352,10.0
Electricity,2029,0.0,0.150092,12.0
Electricity,2030,0.0,0.144083,14.0
Electricity,2031,0.0,0.138315,16.0
Electricity,2032,0.0,0.132778,18.0
Electricity,2033,0.0,0.127462,20.0
Electricity,2034,0.0,0.122359,22.0
Electricity,2035,0.0,0.11746,24.0
Electricity,2036,0.0,0.112757,26.0
Electricity,2037,0.0,0.108243,28.0
Electricity,2038,0.0,0.103909,30.0
HVO,2023,0.487624,1.81431,0.0
HVO,2024,0.487624,1.79476,2.0
HVO,2025,0.487624,1.77542,4.0
HVO,2026,0.487624,1.75629,6.0
HVO,2027,0.487624,1.73737,8.0
HVO,2028,0.487624,1.71864,10.0
HVO,2029,0.487624,1.70012,12.0
HVO,2030,0.487624,1.6818,14.0
HVO,2031,0.487624,1.66368,16.0
HVO,2032,0.487624,1.64575,18.0
HVO,2033,0.487624,1.62802,20.0
HVO,2034,0.487624,1.61047,22.0
HVO,2035,0.487624,1.59312,24.0
HVO,2036,0.487624,1.57595,26.0
HVO,2037,0.487624,1.55897,28.0
HVO,2038,0.487624,1.54217,30.0
LNG,2023,2.48619,1.01162,0.0
LNG,2024,2.48619,1.00571,2.0
LNG,2025,2.48619,0.999832,4.0
LNG,2026,2.48619,0.993991,6.0
LNG,2027,2.48619,0.988184,8.0
LNG,2028,2.48619,0.982411,10.0
LNG,2029,2.48619,0.976671,12.0
LNG,2030,2.48619,0.970965,14.0
LNG,2031,2.48619,0.965292,16.0
LNG,2032,2.48619,0.959652,18.0
LNG,2033,2.48619,0.954045,20.0
LNG,2034,2.48619,0.948471,22.0
LNG,2035,2.48619,0.94293,24.0
LNG,2036,2.48619,0.937421,26.0
LNG,2037,2.48619,0.931944,28.0
LNG,2038,2.48619,0.926499,30.0
