Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance,Year
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338,106000.17966326338,0.8966263359475206,1.0,D1,2023
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.9255390570419336,1.0,D2,2023
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.9255390570419336,1.0,D3,2023
Diesel_S1_2023,2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.9255390570419336,1.0,D4,2023
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.063269324215,6650.0,1330.0,0.1818671867,140980.1818671867,0.8844632471009175,1.0,D1,2023
Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.9268708648487926,1.0,D2,2023
Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.9268708648487926,1.0,D3,2023
Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.9268708648487926,1.0,D4,2023
LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.062322848276,7556.8,1511.36,0.17914654888,160204.33914654888,0.8854238554659903,1.0,D1,2023
Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.109267761168,5909.05,1181.81,0.40655421342,125272.26655421342,0.9253787278369682,1.0,D2,2023
Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.109267761168,5909.05,1181.81,0.40655421342,125272.26655421342,0.9253787278369682,1.0,D3,2023
Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.109267761168,5909.05,1181.81,0.40655421342,125272.26655421342,0.9253787278369682,1.0,D4,2023
LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.062854176632,9672.7,1934.54,0.18067384816,205061.42067384816,0.883527338555827,1.0,D1,2023
Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.927974456851911,1.0,D2,2023
Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.927974456851911,1.0,D3,2023
Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.927974456851911,1.0,D4,2023
LNG_S1_2024,2024,S1,D1,877242,LNG_S1_2024,LNG,2024,103000,102000,D4,BioLNG,0.062502606801,5150.0,1030.0,0.17861285214,109180.17861285212,0.8934420543350551,1.0,D1,2024
Diesel_S1_2024,2024,S1,D2,2716195,Diesel_S1_2024,Diesel,2024,87550,102000,D4,HVO,0.108747953984,4377.5,875.5,0.4002601961599999,92803.40026019615,0.925539057651176,1.0,D2,2024
Diesel_S1_2024,2024,S1,D3,3336604,Diesel_S1_2024,Diesel,2024,87550,102000,D4,HVO,0.108747953984,4377.5,875.5,0.4002601961599999,92803.40026019615,0.925539057651176,1.0,D3,2024
Diesel_S1_2024,2024,S1,D4,419981,Diesel_S1_2024,Diesel,2024,87550,102000,D4,HVO,0.108747953984,4377.5,875.5,0.4002601961599999,92803.40026019615,0.925539057651176,1.0,D4,2024
LNG_S2_2024,2024,S2,D1,1043209,LNG_S2_2024,LNG,2024,136990,106000,D4,BioLNG,0.063269324215,6849.5,1369.9,0.1808038901,145209.5808038901,0.8797921198919502,1.0,D1,2024
Diesel_S2_2024,2024,S2,D2,1391987,Diesel_S2_2024,Diesel,2024,107120,106000,D4,HVO,0.109155607648,5356.0,1071.2,0.40176061552,113547.60176061552,0.926870865571369,1.0,D2,2024
Diesel_S2_2024,2024,S2,D3,807076,Diesel_S2_2024,Diesel,2024,107120,106000,D4,HVO,0.109155607648,5356.0,1071.2,0.40176061552,113547.60176061552,0.926870865571369,1.0,D3,2024
Diesel_S2_2024,2024,S2,D4,133712,Diesel_S2_2024,Diesel,2024,107120,106000,D4,HVO,0.109155607648,5356.0,1071.2,0.40176061552,113547.60176061552,0.926870865571369,1.0,D4,2024
LNG_S3_2024,2024,S3,D1,2239440,LNG_S3_2024,LNG,2024,155670,73000,D4,BioLNG,0.062322848276,7783.5,1556.7,0.17809915864,165010.37809915864,0.8807626786125236,1.0,D1,2024
Diesel_S3_2024,2024,S3,D2,2453497,Diesel_S3_2024,Diesel,2024,121727,73000,D4,HVO,0.109267761168,6086.35,1217.27,0.40217341032,129031.02217341033,0.9253786882034464,1.0,D2,2024
Diesel_S3_2024,2024,S3,D3,1029375,Diesel_S3_2024,Diesel,2024,121727,73000,D4,HVO,0.109267761168,6086.35,1217.27,0.40217341032,129031.02217341033,0.9253786882034464,1.0,D3,2024
Diesel_S3_2024,2024,S3,D4,208440,Diesel_S3_2024,Diesel,2024,121727,73000,D4,HVO,0.109267761168,6086.35,1217.27,0.40217341032,129031.02217341033,0.9253786882034464,1.0,D4,2024
LNG_S4_2024,2024,S4,D1,15200,LNG_S4_2024,LNG,2024,199258,118000,D4,BioLNG,0.062854176632,9962.9,1992.58,0.17961752848,211213.6596175285,0.8787949261641821,1.0,D1,2024
Diesel_S4_2024,2024,S4,D2,780979,Diesel_S4_2024,Diesel,2024,155810,118000,D4,HVO,0.107192921048,7790.5,1558.1,0.3945367065199999,165158.9945367065,0.9279744797490208,1.0,D2,2024
Diesel_S4_2024,2024,S4,D3,122186,Diesel_S4_2024,Diesel,2024,155810,118000,D4,HVO,0.107192921048,7790.5,1558.1,0.3945367065199999,165158.9945367065,0.9279744797490208,1.0,D3,2024
