Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance,Year
BEV_S1_2023,2023,S1,D1,869181,BEV_S1_2023,BEV,2023,187000,102000,D1,Electricity,0.0,9350.0,1870.0,0.171277610013,198220.17127761,0.6858164297793278,3.0,D1,2023
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.6798821172799999,4250.0,850.0,0.2722668534399999,90100.27226685344,0.3141835702206722,5.0,D1,2023
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.8567767088603685,2.0,D1,2023
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.41148184833,5000.0,1000.0,0.1674301913399999,106000.16743019134,0.4770234423723982,4.0,D1,2023
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338,106000.17966326338,0.8966263359475206,1.0,D1,2023
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.6798821172799999,4250.0,850.0,0.2722668534399999,90100.27226685344,0.0952805155891422,4.0,D2,2023
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.9255390570419336,1.0,D2,2023
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.41148184833,5000.0,1000.0,0.1674301913399999,106000.16743019134,0.4305531191909443,3.0,D2,2023
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338,106000.17966326338,0.9047194844108578,2.0,D2,2023
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.6798821172799999,4250.0,850.0,0.2722668534399999,90100.27226685344,0.0952805155891422,4.0,D3,2023
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.9255390570419336,1.0,D3,2023
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.41148184833,5000.0,1000.0,0.1674301913399999,106000.16743019134,0.4305531191909443,3.0,D3,2023
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338,106000.17966326338,0.9047194844108578,2.0,D3,2023
Diesel_S1_2023,2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.6798821172799999,4250.0,850.0,0.2722668534399999,90100.27226685344,0.0952805155891422,4.0,D4,2023
Diesel_S1_2023,2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,D4,HVO,0.108747953984,4250.0,850.0,0.40462015896,90100.40462015897,0.9255390570419336,1.0,D4,2023
LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.41148184833,5000.0,1000.0,0.1674301913399999,106000.16743019134,0.4305531191909443,3.0,D4,2023
LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,D4,BioLNG,0.062502606801,5000.0,1000.0,0.17966326338,106000.17966326338,0.9047194844108578,2.0,D4,2023
BEV_S2_2023,2023,S2,D1,995694,BEV_S2_2023,BEV,2023,272000,106000,D1,Electricity,0.0,13600.0,2720.0,0.1719981688,288320.1719981688,0.6457664563672636,3.0,D1,2023
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.68243073016,5200.0,1040.0,0.27328747568,110240.27328747568,0.3542335436327363,5.0,D1,2023
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.8624949564103639,2.0,D1,2023
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.41081554941,6650.0,1330.0,0.16715907718,140980.1671590772,0.4976362880830415,4.0,D1,2023
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.063269324215,6650.0,1330.0,0.1818671867,140980.1818671867,0.8844632471009175,1.0,D1,2023
