Allocation,Year,Size,Distance_x,Demand (km),ID,Vehicle,Cost ($),Yearly range (km),Distance_y,Operating Year,Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs,Type,Cost,Topsis_Score,Rank,Distance
BEV_S1_2023,2023,S1,D1,869181,BEV_S1_2023,BEV,187000,102000,D1,2023,Electricity,0.0,9350.0,1870.0,17470.316221326,Buy,187000.0,0.6314941280879174,3.0,D1
BEV_S1_2023,2023,S1,D1,869181,BEV_S1_2023,BEV,187000,102000,D1,2023,Electricity,0.0,9350.0,1870.0,17470.316221326,Sell,168300.0,0.6314941280879174,3.0,D1
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,85000,102000,D4,2023,B20,69347.97596256,4250.0,850.0,27771.219050879998,Buy,85000.0,0.4073529432257808,5.0,D1
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,85000,102000,D4,2023,B20,69347.97596256,4250.0,850.0,27771.219050879998,Sell,76500.0,0.4073529432257808,5.0,D1
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,85000,102000,D4,2023,HVO,11092.291306368,4250.0,850.0,41271.25621392,Buy,85000.0,0.6728144143056687,2.0,D1
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,85000,102000,D4,2023,HVO,11092.291306368,4250.0,850.0,41271.25621392,Sell,76500.0,0.6728144143056687,2.0,D1
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,100000,102000,D4,2023,LNG,41971.14852966,5000.0,1000.0,17077.87951668,Buy,100000.0,0.5775786290805113,4.0,D1
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,100000,102000,D4,2023,LNG,41971.14852966,5000.0,1000.0,17077.87951668,Sell,90000.0,0.5775786290805113,4.0,D1
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,Buy,100000.0,0.8959226901423485,1.0,D1
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,Sell,90000.0,0.8959226901423485,1.0,D1
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,85000,102000,D4,2023,B20,69347.97596256,4250.0,850.0,27771.219050879998,Buy,85000.0,0.2530513710593267,4.0,D2
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,85000,102000,D4,2023,B20,69347.97596256,4250.0,850.0,27771.219050879998,Sell,76500.0,0.2530513710593267,4.0,D2
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,85000,102000,D4,2023,HVO,11092.291306368,4250.0,850.0,41271.25621392,Buy,85000.0,0.621352817126406,2.0,D2
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,85000,102000,D4,2023,HVO,11092.291306368,4250.0,850.0,41271.25621392,Sell,76500.0,0.621352817126406,2.0,D2
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,100000,102000,D4,2023,LNG,41971.14852966,5000.0,1000.0,17077.87951668,Buy,100000.0,0.5497556863917652,3.0,D2
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,100000,102000,D4,2023,LNG,41971.14852966,5000.0,1000.0,17077.87951668,Sell,90000.0,0.5497556863917652,3.0,D2
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,Buy,100000.0,0.8820514558250946,1.0,D2
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,Sell,90000.0,0.8820514558250946,1.0,D2
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,85000,102000,D4,2023,B20,69347.97596256,4250.0,850.0,27771.219050879998,Buy,85000.0,0.2530513710593267,4.0,D3
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,85000,102000,D4,2023,B20,69347.97596256,4250.0,850.0,27771.219050879998,Sell,76500.0,0.2530513710593267,4.0,D3
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,85000,102000,D4,2023,HVO,11092.291306368,4250.0,850.0,41271.25621392,Buy,85000.0,0.621352817126406,2.0,D3
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,85000,102000,D4,2023,HVO,11092.291306368,4250.0,850.0,41271.25621392,Sell,76500.0,0.621352817126406,2.0,D3
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,100000,102000,D4,2023,LNG,41971.14852966,5000.0,1000.0,17077.87951668,Buy,100000.0,0.5497556863917652,3.0,D3
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,100000,102000,D4,2023,LNG,41971.14852966,5000.0,1000.0,17077.87951668,Sell,90000.0,0.5497556863917652,3.0,D3
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,Buy,100000.0,0.8820514558250946,1.0,D3
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,100000,102000,D4,2023,BioLNG,6375.2658937020005,5000.0,1000.0,18325.652864760003,Sell,90000.0,0.8820514558250946,1.0,D3
