Unnamed: 0,Allocation,Year,Size,Distance_x,Demand (km),ID,Vehicle,Cost ($),Yearly range (km),Distance_y,Operating Year,Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs,Total_Cost,Topsis_Score,Rank,Distance
0,BEV_S1_2023,2025,S1,D1,877707,BEV_S1_2023,BEV,187000,102000,D1,2025,Electricity,0.0,13090.000000000002,9350.0,16099.497002412,38539.497002412,0.8154387158841551,6.0,D1
1,BEV_S1_2024,2025,S1,D1,877707,BEV_S1_2024,BEV,177650,102000,D1,2025,Electricity,0.0,10659.0,5329.5,16099.497002412,32087.997002411998,0.8864217483821115,4.0,D1
2,BEV_S1_2025,2025,S1,D1,877707,BEV_S1_2025,BEV,168767,102000,D1,2025,Electricity,0.0,8438.35,1687.67,16099.497002412,26225.517002412,0.9596031947093703,1.0,D1
3,Diesel_S1_2023,2025,S1,D1,877707,Diesel_S1_2023,Diesel,85000,102000,D4,2025,B20,69347.97596256,5950.000000000001,4250.0,28964.787301919994,39164.78730191999,0.1431362321748249,15.0,D1
4,Diesel_S1_2023,2025,S1,D1,877707,Diesel_S1_2023,Diesel,85000,102000,D4,2025,HVO,11092.291306368,5950.000000000001,4250.0,40386.60080543999,50586.60080543999,0.6556463246541933,9.0,D1
5,Diesel_S1_2024,2025,S1,D1,877707,Diesel_S1_2024,Diesel,87550,102000,D4,2025,B20,69347.97596256,5253.0,2626.5,28964.787301919994,36844.28730191999,0.1683807397603438,14.0,D1
6,Diesel_S1_2024,2025,S1,D1,877707,Diesel_S1_2024,Diesel,87550,102000,D4,2025,HVO,11092.291306368,5253.0,2626.5,40386.60080543999,48266.10080543999,0.6728068950873212,8.0,D1
7,Diesel_S1_2025,2025,S1,D1,877707,Diesel_S1_2025,Diesel,90176,102000,D4,2025,B20,69347.97596256,4508.8,901.76,28964.787301919994,34375.347301919996,0.19383997441210205,13.0,D1
8,Diesel_S1_2025,2025,S1,D1,877707,Diesel_S1_2025,Diesel,90176,102000,D4,2025,HVO,11092.291306368,4508.8,901.76,40386.60080543999,45797.16080543999,0.6921581509307235,7.0,D1
9,LNG_S1_2023,2025,S1,D1,877707,LNG_S1_2023,LNG,100000,102000,D4,2025,LNG,41971.14852966,7000.000000000001,5000.0,16878.877872048,28878.877872048,0.45599942813281025,12.0,D1
10,LNG_S1_2023,2025,S1,D1,877707,LNG_S1_2023,LNG,100000,102000,D4,2025,BioLNG,6375.2658937020005,7000.000000000001,5000.0,18112.04282052,30112.04282052,0.8739705955892639,5.0,D1
11,LNG_S1_2024,2025,S1,D1,877707,LNG_S1_2024,LNG,103000,102000,D4,2025,LNG,41971.14852966,6180.0,3090.0,16878.877872048,26148.877872048,0.4705803354980793,11.0,D1
12,LNG_S1_2024,2025,S1,D1,877707,LNG_S1_2024,LNG,103000,102000,D4,2025,BioLNG,6375.2658937020005,6180.0,3090.0,18112.04282052,27382.04282052,0.8975744518282067,3.0,D1
13,LNG_S1_2025,2025,S1,D1,877707,LNG_S1_2025,LNG,106090,102000,D4,2025,LNG,41971.14852966,5304.5,1060.9,16878.877872048,23244.277872048,0.48502254431486785,10.0,D1
14,LNG_S1_2025,2025,S1,D1,877707,LNG_S1_2025,LNG,106090,102000,D4,2025,BioLNG,6375.2658937020005,5304.5,1060.9,18112.04282052,24477.442820520002,0.9134124893745513,2.0,D1
15,Diesel_S1_2023,2025,S1,D2,2836223,Diesel_S1_2023,Diesel,85000,102000,D4,2025,B20,69347.97596256,5950.000000000001,4250.0,28964.787301919994,39164.78730191999,0.16646605965796057,12.0,D2
16,Diesel_S1_2023,2025,S1,D2,2836223,Diesel_S1_2023,Diesel,85000,102000,D4,2025,HVO,11092.291306368,5950.000000000001,4250.0,40386.60080543999,50586.60080543999,0.6476183528724166,6.0,D2
17,Diesel_S1_2024,2025,S1,D2,2836223,Diesel_S1_2024,Diesel,87550,102000,D4,2025,B20,69347.97596256,5253.0,2626.5,28964.787301919994,36844.28730191999,0.19539228693410293,11.0,D2
18,Diesel_S1_2024,2025,S1,D2,2836223,Diesel_S1_2024,Diesel,87550,102000,D4,2025,HVO,11092.291306368,5253.0,2626.5,40386.60080543999,48266.10080543999,0.6673383765668351,5.0,D2
19,Diesel_S1_2025,2025,S1,D2,2836223,Diesel_S1_2025,Diesel,90176,102000,D4,2025,B20,69347.97596256,4508.8,901.76,28964.787301919994,34375.347301919996,0.22435000023675164,10.0,D2
20,Diesel_S1_2025,2025,S1,D2,2836223,Diesel_S1_2025,Diesel,90176,102000,D4,2025,HVO,11092.291306368,4508.8,901.76,40386.60080543999,45797.16080543999,0.6900613843500873,4.0,D2
