Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2027,2027,S1,D1,923004,BEV_S1_2027,BEV,2027,152312,102000,D2,Electricity,0.0,7615.6,1523.12,0.1413999865529999,9138.861399986554,0.7950647719474505,3.0,D1
Diesel_S1_2027,2027,S1,D1,923004,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.6798821172799999,4783.400000000001,956.68,0.29617193848,5740.376171938481,0.20493522805254943,5.0,D1
Diesel_S1_2027,2027,S1,D1,923004,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.108747953984,4783.400000000001,956.68,0.38746130792,5740.4674613079205,0.8460014341485095,2.0,D1
LNG_S1_2027,2027,S1,D1,923004,LNG_S1_2027,LNG,2027,112550,102000,D4,LNG,0.40267576335,5627.5,1125.5,0.1600512215599999,6753.16005122156,0.42755770613507227,4.0,D1
LNG_S1_2027,2027,S1,D1,923004,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.060348532013,5627.5,1125.5,0.16945282354,6753.16945282354,0.8878204114617231,1.0,D1
BEV_S1_2027,2027,S1,D2,3023153,BEV_S1_2027,BEV,2027,152312,102000,D2,Electricity,0.0,7615.6,1523.12,0.1413999865529999,9138.861399986554,0.7950647719474505,3.0,D2
Diesel_S1_2027,2027,S1,D2,3023153,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.6798821172799999,4783.400000000001,956.68,0.29617193848,5740.376171938481,0.20493522805254943,5.0,D2
Diesel_S1_2027,2027,S1,D2,3023153,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.108747953984,4783.400000000001,956.68,0.38746130792,5740.4674613079205,0.8460014341485095,2.0,D2
LNG_S1_2027,2027,S1,D2,3023153,LNG_S1_2027,LNG,2027,112550,102000,D4,LNG,0.40267576335,5627.5,1125.5,0.1600512215599999,6753.16005122156,0.42755770613507227,4.0,D2
LNG_S1_2027,2027,S1,D2,3023153,LNG_S1_2027,LNG,2027,112550,102000,D4,BioLNG,0.060348532013,5627.5,1125.5,0.16945282354,6753.16945282354,0.8878204114617231,1.0,D2
Diesel_S1_2027,2027,S1,D3,3581681,Diesel_S1_2027,Diesel,2027,95668,102000,D4,B20,0.6798821172799999,4783.400000000001,956.68,0.29617193848,5740.376171938481,0.0944693171849251,4.0,D3
Diesel_S1_2027,2027,S1,D3,3581681,Diesel_S1_2027,Diesel,2027,95668,102000,D4,HVO,0.108747953984,4783.400000000001,956.68,0.38746130792,5740.4674613079205,0.92233456320093,1.0,D3
