index,Year,TotalCost_mean,TotalCost_std,TotalCarbonEmissions_mean,TotalCarbonEmissions_std,TotalCost_CI_lower,TotalCost_CI_upper,TotalCarbonEmissions_CI_lower,TotalCarbonEmissions_CI_upper
0,2023,28970954.94,232451.3746919556,111088739.6,2381068.9777550343,28904892.990256887,29037016.889743116,110412047.28380358,111765431.9161964
1,2024,22170431.32,2543359.28497866,64160840.5,11977894.76216788,21447616.608813196,22893246.031186804,60756760.47313312,67564920.52686688
2,2025,22458995.26,2669439.6229733294,65875471.62,17794817.151783787,21700348.913215276,23217641.606784727,60818240.541341566,70932702.69865844
3,2026,24899510.2,2932594.088003942,67046349.34,15963448.59644828,24066076.181743912,25732944.218256086,62509587.446021676,71583111.23397833
4,2027,25091581.9,3532605.095942574,64778466.02,17480607.512226146,24087626.640024927,26095537.15997507,59810532.3328703,69746399.7071297
5,2028,25849352.38,3788149.268944083,69226391.72,21314527.985037357,24772772.269617643,26925932.490382355,63168869.89027665,75283913.54972336
6,2029,28206495.66,3781297.085227917,69452004.28,18289084.91563513,27131862.918683056,29281128.401316945,64254303.85708211,74649704.70291789
7,2030,28878394.02,4039324.0776217757,68505986.0,19515743.417703256,27730430.8188117,30026357.2211883,62959673.08802725,74052298.91197276
8,2031,30370110.42,3285685.1775355753,72332811.98,19075867.431701273,29436329.024395462,31303891.81560454,66911510.4400571,77754113.51994291
9,2032,29917960.34,4339408.475386425,65888789.8,17962024.891060878,28684714.096583657,31151206.583416343,60784038.80762447,70993540.79237553
10,2033,31086644.58,6078254.134828824,70028014.7,24876467.14949061,29359223.867977727,32814065.29202227,62958200.96027195,77097828.43972805
11,2034,33596871.44,6506849.241076328,79249313.62,27737429.7397463,31747645.346501328,35446097.53349867,71366423.30843036,87132203.93156965
12,2035,34241233.34,7035111.458114519,79226692.36,25964330.667750128,32241876.785541877,36240589.89445813,71847711.22917406,86605673.49082594
13,2036,34522592.4,7312973.195189279,78801680.86,30066398.219348766,32444268.413602646,36600916.386397354,70256905.02997866,87346456.69002134
14,2037,37494633.92,7496451.822085541,81352609.62,28799893.024073463,35364165.88478806,39625101.955211945,73167770.58394492,89537448.6560551
15,2038,35504533.52,7114127.018101638,76424528.36,24955576.55890452,33482720.991858304,37526346.0481417,69332231.97487639,83516824.74512361
