index,Year,TotalCost_mean,TotalCost_std,TotalCarbonEmissions_mean,TotalCarbonEmissions_std,TotalCost_CI_lower,TotalCost_CI_upper,TotalCarbonEmissions_CI_lower,TotalCarbonEmissions_CI_upper
0,2023,29632263.44,228983.11740416315,101009590.38,1800278.2417009536,29567187.15807213,29697339.721927874,100497956.9646912,101521223.79530878
1,2024,17590879.32,1939460.792250274,47003267.52,9552614.462928155,17039690.661485214,18142067.978514787,44288444.52787279,49718090.51212721
2,2025,18063219.8,3506018.706955327,62234761.14,17961235.25699327,17066820.308174092,19059619.29182591,57130234.559143476,67339287.72085653
3,2026,19386691.7,3736748.5823480464,49979229.4,18769602.89226613,18324719.50311856,20448663.89688144,44644967.27911441,55313491.52088559
4,2027,20639804.08,4222293.610801148,56885299.82,20383600.75170316,19439841.5128306,21839766.647169396,51092344.58268557,62678255.05731443
5,2028,20928757.44,4567318.425720032,51349962.7,19874711.217373963,19630739.905362662,22226774.97463734,45701632.26813661,56998293.13186339
6,2029,24015122.2,4381067.413600572,51495626.58,13676845.92108165,22770036.617339905,25260207.782660093,47608709.976128995,55382543.183871
7,2030,23546961.94,4363877.795305585,41537144.7,11824121.318711888,22306761.592806514,24787162.28719349,38176766.60222206,44897522.79777794
8,2031,24390788.44,4788876.765069714,42167150.02,12196334.835566523,23029804.722010624,25751772.15798938,38700990.011158966,45633310.02884104
9,2032,25046507.14,5509638.573409749,39791799.84,14326101.398374634,23480685.18251897,26612329.09748103,35720366.871068954,43863232.80893105
10,2033,25698376.38,6466942.6693569785,40048842.58,15563743.524868475,23860491.608697586,27536261.151302412,35625675.61049035,44472009.549509645
11,2034,27423467.92,6540653.966780414,38367047.88,14887249.41401205,25564634.629755337,29282301.210244667,34136138.409557134,42597957.35044287
12,2035,27923695.12,6365211.432644335,39647588.0,14098773.53793115,26114722.046277013,29732668.19372299,35640760.89417356,43654415.10582644
13,2036,25561745.58,6917996.865831225,34893692.02,13933277.539616382,23595672.62440145,27527818.535598546,30933898.35649175,38853485.68350826
14,2037,29684943.64,8292064.250796185,42151696.42,17710079.995779704,27328365.05435517,32041522.22564483,37118547.37462158,47184845.465378426
15,2038,30269075.98,6783738.593242542,42482128.82,15445650.892457422,28341158.803295445,32196993.156704556,38092523.40527879,46871734.23472121
